vtaxid,no human-to-human,limited human-to-human,sustained human-to-human,pred_label
1609130,0.0788,0.0298,0.8913,sustained human-to-human
1609131,0.0741,0.0289,0.8970,sustained human-to-human
1615798,0.0741,0.0289,0.8970,sustained human-to-human
164250,0.3188,0.0583,0.6229,sustained human-to-human
1678146,0.0741,0.0289,0.8970,sustained human-to-human
1679172,0.0741,0.0289,0.8970,sustained human-to-human
1714296,0.0741,0.0289,0.8970,sustained human-to-human
1714297,0.0559,0.0314,0.9126,sustained human-to-human
1714298,0.0741,0.0289,0.8970,sustained human-to-human
1714360,0.0788,0.0298,0.8913,sustained human-to-human
1714361,0.0788,0.0298,0.8913,sustained human-to-human
178530,0.0741,0.0289,0.8970,sustained human-to-human
1803959,0.3323,0.0297,0.6380,sustained human-to-human
1803961,0.6281,0.0325,0.3394,no human-to-human
1884453,0.7430,0.0394,0.2176,no human-to-human
1899067,0.0741,0.0289,0.8970,sustained human-to-human
1899068,0.0741,0.0289,0.8970,sustained human-to-human
1899069,0.0741,0.0289,0.8970,sustained human-to-human
1899070,0.0741,0.0289,0.8970,sustained human-to-human
1899071,0.0741,0.0289,0.8970,sustained human-to-human
1899072,0.0741,0.0289,0.8970,sustained human-to-human
1899073,0.0741,0.0289,0.8970,sustained human-to-human
1899074,0.0741,0.0289,0.8970,sustained human-to-human
1899075,0.0788,0.0298,0.8913,sustained human-to-human
1899076,0.0741,0.0289,0.8970,sustained human-to-human
1899077,0.0741,0.0289,0.8970,sustained human-to-human
1899078,0.0741,0.0289,0.8970,sustained human-to-human
1899079,0.0741,0.0289,0.8970,sustained human-to-human
1899080,0.0741,0.0289,0.8970,sustained human-to-human
1899081,0.0741,0.0289,0.8970,sustained human-to-human
1899082,0.0741,0.0289,0.8970,sustained human-to-human
1899083,0.0433,0.0284,0.9283,sustained human-to-human
1899084,0.0741,0.0289,0.8970,sustained human-to-human
1899085,0.0433,0.0284,0.9283,sustained human-to-human
1899086,0.0433,0.0284,0.9283,sustained human-to-human
1906931,0.3318,0.1348,0.5334,sustained human-to-human
1907787,0.1886,0.0330,0.7784,sustained human-to-human
1912147,0.0788,0.0298,0.8913,sustained human-to-human
1914575,0.0741,0.0289,0.8970,sustained human-to-human
1914576,0.0741,0.0289,0.8970,sustained human-to-human
1922835,0.0741,0.0289,0.8970,sustained human-to-human
1923094,0.0741,0.0289,0.8970,sustained human-to-human
1923116,0.0741,0.0289,0.8970,sustained human-to-human
1923133,0.0741,0.0289,0.8970,sustained human-to-human
1933176,0.1886,0.0330,0.7784,sustained human-to-human
1933263,0.1246,0.0317,0.8437,sustained human-to-human
196403,0.3125,0.0419,0.6456,sustained human-to-human
1972587,0.0741,0.0289,0.8970,sustained human-to-human
1986118,0.0741,0.0289,0.8970,sustained human-to-human
1987124,0.0741,0.0289,0.8970,sustained human-to-human
2044876,0.0741,0.0289,0.8970,sustained human-to-human
2053898,0.0741,0.0289,0.8970,sustained human-to-human
2081950,0.0788,0.0298,0.8913,sustained human-to-human
2094719,0.0741,0.0289,0.8970,sustained human-to-human
2152919,0.0741,0.0289,0.8970,sustained human-to-human
2169479,0.0741,0.0289,0.8970,sustained human-to-human
2184749,0.0741,0.0289,0.8970,sustained human-to-human
2219046,0.0741,0.0289,0.8970,sustained human-to-human
2219047,0.0741,0.0289,0.8970,sustained human-to-human
2219048,0.0741,0.0289,0.8970,sustained human-to-human
2219052,0.0741,0.0289,0.8970,sustained human-to-human
2219053,0.0741,0.0289,0.8970,sustained human-to-human
2219997,0.0741,0.0289,0.8970,sustained human-to-human
2269360,0.0741,0.0289,0.8970,sustained human-to-human
235406,0.0741,0.0289,0.8970,sustained human-to-human
2364099,0.0741,0.0289,0.8970,sustained human-to-human
2497867,0.0741,0.0289,0.8970,sustained human-to-human
2499678,0.0741,0.0289,0.8970,sustained human-to-human
2501947,0.0741,0.0289,0.8970,sustained human-to-human
2516502,0.0788,0.0298,0.8913,sustained human-to-human
2602438,0.0741,0.0289,0.8970,sustained human-to-human
2716315,0.0741,0.0289,0.8970,sustained human-to-human
2778245,0.0741,0.0289,0.8970,sustained human-to-human
2778246,0.0741,0.0289,0.8970,sustained human-to-human
2778247,0.0741,0.0289,0.8970,sustained human-to-human
2778248,0.0741,0.0289,0.8970,sustained human-to-human
2778249,0.0741,0.0289,0.8970,sustained human-to-human
2778250,0.0741,0.0289,0.8970,sustained human-to-human
2778251,0.0741,0.0289,0.8970,sustained human-to-human
2778252,0.0741,0.0289,0.8970,sustained human-to-human
2778253,0.0741,0.0289,0.8970,sustained human-to-human
2831046,0.0741,0.0289,0.8970,sustained human-to-human
2844304,0.0790,0.0369,0.8841,sustained human-to-human
