Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Protein Localization To Chromosome (GO:0034502)	1/40	5.833288e-02	1.418908e-01	0	0	1.762246e+01	5.007579e+01	TERF2
GO_Biological_Process_2023	Negative Regulation Of Secretion By Cell (GO:1903531)	1/40	5.833288e-02	1.418908e-01	0	0	1.762246e+01	5.007579e+01	TNFRSF1A
GO_Biological_Process_2023	Positive Regulation Of Catalytic Activity (GO:0043085)	1/40	5.833288e-02	1.418908e-01	0	0	1.762246e+01	5.007579e+01	SSBP1
GO_Biological_Process_2023	Aortic Valve Development (GO:0003176)	1/40	5.833288e-02	1.418908e-01	0	0	1.762246e+01	5.007579e+01	TNFRSF1A
GO_Biological_Process_2023	DNA Duplex Unwinding (GO:0032508)	1/41	5.974820e-02	1.423586e-01	0	0	1.718103e+01	4.840956e+01	SSBP1
GO_Biological_Process_2023	Protein Localization To Lysosome (GO:0061462)	1/41	5.974820e-02	1.423586e-01	0	0	1.718103e+01	4.840956e+01	SCARB2
GO_Biological_Process_2023	Chromatin Organization (GO:0006325)	2/268	6.086911e-02	1.423586e-01	0	0	5.291085e+00	1.480990e+01	KDM5C;HCFC2
GO_Biological_Process_2023	Collagen Fibril Organization (GO:0030199)	1/42	6.116148e-02	1.423586e-01	0	0	1.676114e+01	4.683462e+01	PLOD3
GO_Biological_Process_2023	Negative Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043124)	1/42	6.116148e-02	1.423586e-01	0	0	1.676114e+01	4.683462e+01	TANK
GO_Biological_Process_2023	Regulation Of Chromosome Organization (GO:0033044)	1/43	6.257269e-02	1.431748e-01	0	0	1.636125e+01	4.534399e+01	TERF2
GO_Biological_Process_2023	Regulation Of Cell-Cell Adhesion (GO:0022407)	1/43	6.257269e-02	1.431748e-01	0	0	1.636125e+01	4.534399e+01	PTPRR
GO_Biological_Process_2023	Regulation Of DNA-templated Transcription Elongation (GO:0032784)	1/44	6.398186e-02	1.439592e-01	0	0	1.597995e+01	4.393137e+01	INTS3
GO_Biological_Process_2023	Autophagosome Maturation (GO:0097352)	1/44	6.398186e-02	1.439592e-01	0	0	1.597995e+01	4.393137e+01	STX17
GO_Biological_Process_2023	Mitotic G2/M Transition Checkpoint (GO:0044818)	1/46	6.679406e-02	1.463298e-01	0	0	1.526820e+01	4.131790e+01	INTS3
