,accuracy,precision,recall,f1,auroc,auprc
mean,0.7121761658031087,0.735288375014783,0.7225242718446602,0.7279619762294638,0.7791601941747573,0.8162140671293944
std,0.03259027459789035,0.03546925223793716,0.04461241373439598,0.03138821609711275,0.029946959641801954,0.02881539075354505
