,accuracy,precision,recall,f1,auroc,auprc
mean,0.7061658031088082,0.7132556322704927,0.7537864077669901,0.7321708718887022,0.7836073354908308,0.8226061900436377
std,0.02896854300602256,0.029354961096102108,0.044427207782894496,0.028075746472533504,0.028924553321092325,0.025185904778690316
