,accuracy,precision,recall,f1,auroc,auprc
mean,0.7495336787564768,0.770123409877909,0.7580582524271844,0.7631868383240951,0.8288683926645093,0.859760269812076
std,0.02984391263698696,0.0307372477465951,0.047012833404012834,0.03065795322802067,0.026513441705096976,0.02446421588148196
