,accuracy,precision,recall,f1,auroc,auprc
mean,0.7501036269430051,0.7772328127626499,0.747378640776699,0.7610032307871419,0.813597087378641,0.8471755269517577
std,0.02782800962271193,0.031409096955130965,0.04709983770206527,0.02941643443081564,0.028435937448243527,0.025847791938329895
