,accuracy,precision,recall,f1,auroc,auprc
mean,0.7210880829015545,0.7445486392314123,0.7279611650485436,0.7353637661767058,0.7977831715210354,0.8313628039970072
std,0.028560904061504744,0.028451710307262047,0.04667339492905674,0.03036974112146626,0.02694887472515553,0.027574069232497302
