,accuracy,precision,recall,f1,auroc,auprc
mean,0.7597927461139897,0.7852616507679265,0.7590291262135921,0.7711446783477415,0.8360582524271843,0.8644779175254743
std,0.025990548468267052,0.03209276974149236,0.03782596281709485,0.02511582775233019,0.02436000208993213,0.023964438087632097
