,accuracy,precision,recall,f1,auroc,auprc
mean,0.7033160621761657,0.7256874724967727,0.7174757281553397,0.7204309760911991,0.7751332254584683,0.7987203821489578
std,0.030414538532158104,0.035993464710353786,0.04617131297645949,0.03012838877478749,0.029840724165936076,0.03289509454512087
