prob_2,prob_3,prob_4,true,pred
0.03907679190845815,0.037345615273696994,0.923577592817845,4,4
0.15068565892789548,0.03704450174189988,0.8122698393302047,4,4
0.9527809224164597,0.029088981497260386,0.018130096086279794,2,2
0.955182254585075,0.01764605213005824,0.027171693284866558,2,2
0.6851972513288493,0.029798534678509313,0.2850042139926413,3,2
0.1100046888361346,0.03532569714967892,0.8546696140141864,2,4
0.8990992106286373,0.04683167856211075,0.054069110809251926,2,2
0.911411392386192,0.03397618786847083,0.05461241974533735,2,2
0.9349355051789822,0.025808307311050473,0.039256187509967316,2,2
0.8263901204575627,0.1429343182768223,0.03067556126561524,2,2
0.03752368212284125,0.04490928875567356,0.917567029121485,2,4
0.2742355710887647,0.08015775908993662,0.6456066698212987,4,4
0.7006788952595969,0.27295885696980365,0.026362247770599354,3,2
0.9262165486531978,0.043746330058375374,0.030037121288426845,2,2
0.2585186926556086,0.12480247403608395,0.6166788333083078,2,4
0.8619097939784458,0.08972526499652905,0.048364941025025254,2,2
0.05673077687357706,0.04332538566871361,0.8999438374577095,4,4
0.047439664490148734,0.042386868898870875,0.9101734666109804,4,4
0.4346565719303291,0.28823520000974734,0.27710822805992347,4,2
0.945910215949923,0.039326356763731744,0.01476342728634523,3,2
0.6307245557895241,0.16541791613694348,0.20385752807353216,2,2
0.182277864860467,0.7976163204907846,0.02010581464874847,3,3
0.035143309444600555,0.9270920806686687,0.037764609886730936,3,3
0.1200986858319719,0.03800090340062609,0.8419004107674022,4,4
0.911411392386192,0.03397618786847083,0.05461241974533735,2,2
0.5247188417634773,0.35780670397910247,0.11747445425742015,2,2
0.2296307527976596,0.1027034885300329,0.6676657586723077,4,4
0.1901391179618714,0.1082190713442073,0.7016418106939216,4,4
0.20700981294803836,0.7297596626816595,0.06323052437030215,2,3
0.9023746443620766,0.03663011610003014,0.06099523953789351,2,2
0.7466592501213148,0.09659356178821982,0.1567471880904656,2,2
0.9417729017640866,0.023880376993218516,0.034346721242694916,2,2
