prob_2,prob_3,prob_4,true,pred
0.54,0.14,0.32,3,2
0.56,0.21,0.23,2,2
0.57,0.09,0.34,2,2
0.815,0.17,0.015,2,2
0.605,0.325,0.07,2,2
0.37,0.57,0.06,2,3
0.525,0.175,0.3,2,2
0.295,0.105,0.6,4,4
0.575,0.14,0.285,2,2
0.78,0.075,0.145,2,2
0.445,0.38,0.175,2,2
0.085,0.135,0.78,4,4
0.585,0.03,0.385,2,2
0.77,0.085,0.145,2,2
0.25,0.14,0.61,2,4
0.485,0.47,0.045,2,2
0.185,0.065,0.75,4,4
0.775,0.15,0.075,3,2
0.905,0.085,0.01,2,2
0.46,0.36,0.18,2,2
0.46,0.53,0.01,4,3
0.63,0.05,0.32,3,2
0.305,0.12,0.575,4,4
0.215,0.045,0.74,4,4
0.12,0.095,0.785,4,4
0.83,0.095,0.075,3,2
0.165,0.055,0.78,4,4
0.78,0.09,0.13,2,2
0.73,0.165,0.105,3,2
0.655,0.09,0.255,4,2
0.915,0.055,0.03,2,2
0.59,0.245,0.165,2,2
