prob_2,prob_3,prob_4,true,pred
0.61,0.25,0.14,3,2
0.68,0.15,0.17,2,2
0.96,0.02,0.02,2,2
0.87,0.05,0.08,3,2
0.77,0.17,0.06,2,2
0.71,0.16,0.13,2,2
0.2,0.72,0.08,2,3
0.79,0.07,0.14,2,2
0.75,0.09,0.16,3,2
0.52,0.36,0.12,2,2
0.57,0.17,0.26,2,2
0.21,0.16,0.63,4,4
0.78,0.17,0.05,2,2
0.9,0.08,0.02,2,2
0.4,0.15,0.45,2,4
0.24,0.13,0.63,4,4
0.14,0.07,0.79,4,4
0.17,0.11,0.72,4,4
0.33,0.03,0.64,4,4
0.47,0.41,0.12,3,2
0.1,0.1,0.8,4,4
0.64,0.05,0.31,4,2
0.81,0.06,0.13,2,2
0.46,0.35,0.19,2,2
0.7,0.1,0.2,2,2
0.4,0.47,0.13,2,3
0.72,0.2,0.08,2,2
0.28,0.31,0.41,4,4
0.42,0.15,0.43,4,4
0.87,0.08,0.05,3,2
0.73,0.04,0.23,2,2
0.57,0.3,0.13,2,2
