prob_2,prob_3,prob_4,true,pred
0.325,0.345,0.33,2,3
0.085,0.13,0.785,4,4
0.24,0.15,0.61,3,4
0.545,0.32,0.135,2,2
0.75,0.08,0.17,2,2
0.635,0.18,0.185,2,2
0.18,0.055,0.765,4,4
0.495,0.08,0.425,4,2
0.285,0.035,0.68,4,4
0.645,0.08,0.275,2,2
0.74,0.035,0.225,3,2
0.73,0.09,0.18,2,2
0.175,0.05,0.775,4,4
0.53,0.065,0.405,3,2
0.62,0.075,0.305,4,2
0.835,0.07,0.095,2,2
0.41,0.195,0.395,2,2
0.75,0.05,0.2,2,2
0.835,0.065,0.1,2,2
0.265,0.15,0.585,4,4
0.725,0.09,0.185,2,2
0.775,0.095,0.13,3,2
0.655,0.3,0.045,2,2
0.76,0.105,0.135,2,2
0.695,0.105,0.2,2,2
0.79,0.135,0.075,2,2
0.84,0.075,0.085,4,2
0.49,0.12,0.39,2,2
0.69,0.13,0.18,2,2
0.6,0.05,0.35,4,2
0.495,0.255,0.25,3,2
0.85,0.06,0.09,2,2
