prob_2,prob_3,prob_4,true,pred
0.5138474973167634,0.2506095705066798,0.23554293217655684,4,2
0.174,0.166,0.66,4,4
0.17868215930411052,0.09806285178236397,0.7232549889135255,4,4
0.5296526145343304,0.4138875584372228,0.05645982702844692,3,2
0.8286201676487759,0.035600727902535836,0.13577910444868835,2,2
0.5309135547101859,0.13469782226056,0.33438862302925404,2,2
0.7459187307252807,0.0998913232055829,0.154189946069136,2,2
0.2091036892748968,0.11815486885964539,0.6727414418654577,4,4
0.2869474830814008,0.03155323563905524,0.681499281279544,4,4
0.314243018419489,0.1713921568627451,0.5143648247177659,4,4
0.6544633356825019,0.06510467628051655,0.28043198803698177,3,2
0.5813889501045832,0.37231653326900355,0.04629451662641322,2,2
0.20973504273504273,0.06808333333333334,0.722181623931624,4,4
0.7696527160031529,0.09445389202458858,0.13589339197225864,2,2
0.7813276108112321,0.08532690528827705,0.1333454839004907,2,2
0.5198061901456207,0.3298580286225506,0.15033578123182878,2,2
0.719100122546737,0.15415589290119971,0.12674398455206332,2,2
0.9394596752480294,0.025684500744751034,0.034855824007219496,2,2
0.5673032450515582,0.39421517285936425,0.03848158208907759,2,2
0.816137396646861,0.05903902021126972,0.12482358314186918,2,2
0.6606652314753394,0.1081532631437547,0.23118150538090612,2,2
0.8346144966525649,0.10628066994084802,0.05910483340658704,2,2
0.5437890035195021,0.2815647115785614,0.17464628490193662,2,2
0.8128030616158805,0.04584813696573438,0.1413488014183853,2,2
0.6325617618728316,0.044351516712794914,0.32308672141437345,3,2
0.21245995115995117,0.0801503663003663,0.7073896825396826,4,4
0.7725868413664029,0.08270930476986323,0.14470385386373405,2,2
0.6726803781335808,0.21366775358106013,0.11365186828535892,2,2
0.9089240590945105,0.052077423840693846,0.0389985170647957,2,2
0.7940554779563989,0.07789074460244706,0.12805377744115404,3,2
0.6182041699844829,0.06596105473843793,0.3158347752770793,4,2
0.3455319984212296,0.6201957145083175,0.03427228707045277,3,3
