vtaxid,Genome Type,Virulence,Transmissibility,Tissue Tropism,Transmission Route,virulence
644610,ssRNA(-),low level,no human-to-human,gastrointestinal,faecal-oral,low level
646294,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
647367,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
647369,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
647372,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
647374,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
650036,ssRNA(-),high level,no human-to-human,viraemic,respiratory,high level
658667,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
659265,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
682383,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
682384,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
688450,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
688451,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
688452,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
688453,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
688454,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
688456,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
688457,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
688459,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
688461,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
688462,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
688463,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
688464,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
688466,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
694015,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
741955,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
741956,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
741957,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
741958,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
741959,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
741960,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
764239,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
764243,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
764252,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
764266,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
764267,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
764268,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
858567,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
858568,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
858571,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
858573,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
862167,dsRNA,low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
862168,dsRNA,low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
862169,dsRNA,low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
862170,dsRNA,low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
862171,dsRNA,low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
862172,dsRNA,low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
862173,dsRNA,low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
862174,dsRNA,low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
862175,dsRNA,low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
862176,dsRNA,low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
862177,dsRNA,low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
862178,dsRNA,low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
862179,dsRNA,low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
862180,dsRNA,low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
862181,dsRNA,low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
862182,dsRNA,low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
862183,dsRNA,low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
864560,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
864623,dsRNA,low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
864624,dsRNA,low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
871260,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
934413,ssRNA(-),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
937784,ssRNA(-),high level,sustained human-to-human,other,respiratory,low level
941285,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
941292,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
941293,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
941305,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
941317,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
999535,ssRNA(+/-),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
