vtaxid,Genome Type,Virulence,Transmissibility,Tissue Tropism,Transmission Route,virulence
1428481,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1432857,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1437125,ssRNA,low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1521109,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1523264,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1523265,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1523266,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1523268,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1523273,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1523276,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1523277,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1523278,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1523281,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1523282,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1523285,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1523287,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1523288,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1523289,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1525176,dsRNA,low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1525177,dsRNA,low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1525178,dsRNA,low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1525179,dsRNA,low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1530251,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1569923,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1602211,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1608040,ssRNA(+/-),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1609130,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1609131,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1615798,ssRNA(-),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
164250,ssRNA(-),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1678146,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1679172,dsRNA,low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1714360,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1714361,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
178530,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1803959,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1803961,ssRNA(+),low level,no human-to-human,gastrointestinal,faecal-oral,low level
1884453,ssRNA(-),low level,no human-to-human,gastrointestinal,faecal-oral,low level
