prob_gastrointestinal,prob_neural,prob_other,prob_respiratory,prob_systemic,prob_viraemic,true,pred
0.015,0.13,0.055,0.025,0.585,0.19,4,4
0.005,0.445,0.09,0.015,0.17,0.275,1,1
0.0,0.095,0.025,0.02,0.03,0.83,5,5
0.09,0.055,0.685,0.05,0.07,0.05,2,2
0.005,0.36,0.08,0.0,0.05,0.505,5,5
0.045,0.175,0.115,0.08,0.325,0.26,4,4
0.725,0.015,0.065,0.1,0.02,0.075,0,0
0.07,0.3,0.01,0.09,0.185,0.345,4,5
0.07,0.2,0.06,0.17,0.08,0.42,3,5
0.09,0.125,0.055,0.265,0.155,0.31,3,5
0.045,0.05,0.745,0.04,0.07,0.05,2,2
0.11,0.195,0.375,0.085,0.06,0.175,5,2
0.055,0.255,0.1,0.07,0.24,0.28,5,5
0.005,0.255,0.055,0.035,0.055,0.595,5,5
0.685,0.015,0.01,0.235,0.0,0.055,0,0
0.405,0.145,0.035,0.235,0.05,0.13,0,0
0.095,0.14,0.055,0.08,0.12,0.51,5,5
0.02,0.385,0.085,0.01,0.175,0.325,1,1
0.02,0.14,0.085,0.02,0.54,0.195,4,4
0.115,0.15,0.18,0.215,0.075,0.265,5,5
0.01,0.11,0.07,0.035,0.155,0.62,5,5
0.015,0.32,0.035,0.005,0.005,0.62,1,5
0.035,0.15,0.055,0.055,0.05,0.655,5,5
0.155,0.195,0.13,0.29,0.11,0.12,3,3
0.715,0.02,0.02,0.165,0.015,0.065,0,0
0.035,0.145,0.035,0.045,0.07,0.67,5,5
0.075,0.165,0.02,0.13,0.07,0.54,5,5
0.02,0.435,0.095,0.015,0.165,0.27,1,1
0.01,0.125,0.275,0.005,0.29,0.295,2,5
0.075,0.16,0.14,0.105,0.135,0.385,1,5
