prob_gastrointestinal,prob_neural,prob_other,prob_respiratory,prob_systemic,prob_viraemic,true,pred
0.004,0.028,0.028,0.016,0.05,0.874,5,5
0.624,0.018,0.028,0.312,0.01,0.008,3,0
0.752,0.038,0.04,0.09,0.036,0.044,0,0
0.022,0.276,0.154,0.046,0.03,0.472,1,5
0.73,0.006,0.04,0.202,0.012,0.01,0,0
0.626,0.096,0.036,0.09,0.034,0.118,0,0
0.038,0.156,0.052,0.098,0.402,0.254,5,4
0.104,0.064,0.028,0.678,0.038,0.088,3,3
0.02,0.096,0.022,0.05,0.054,0.758,5,5
0.814,0.018,0.052,0.08,0.02,0.016,5,0
0.004,0.098,0.21,0.036,0.392,0.26,2,4
0.062,0.22,0.164,0.066,0.184,0.304,5,5
0.026,0.236,0.068,0.038,0.02,0.612,5,5
0.074,0.154,0.054,0.3,0.146,0.272,3,3
0.102,0.078,0.074,0.19,0.274,0.282,5,5
0.046,0.104,0.266,0.088,0.256,0.24,4,2
0.024,0.092,0.038,0.022,0.048,0.776,1,5
0.004,0.112,0.06,0.05,0.616,0.158,4,4
0.01,0.526,0.026,0.022,0.146,0.27,1,1
0.062,0.202,0.058,0.08,0.106,0.492,5,5
0.008,0.288,0.006,0.002,0.062,0.634,5,5
0.008,0.06,0.214,0.026,0.328,0.364,2,5
0.71,0.01,0.018,0.246,0.006,0.01,0,0
0.02,0.124,0.038,0.044,0.074,0.7,5,5
0.008,0.064,0.038,0.052,0.698,0.14,4,4
0.078,0.146,0.136,0.084,0.244,0.312,4,5
0.014,0.148,0.044,0.04,0.566,0.188,1,4
0.006,0.366,0.162,0.006,0.048,0.412,1,5
0.13,0.14,0.35,0.104,0.096,0.18,2,2
0.012,0.152,0.142,0.01,0.026,0.658,5,5
