prob_gastrointestinal,prob_neural,prob_other,prob_respiratory,prob_systemic,prob_viraemic,true,pred
0.014,0.108,0.154,0.06,0.264,0.4,2,5
0.508,0.052,0.136,0.108,0.074,0.122,0,0
0.102,0.154,0.088,0.288,0.142,0.226,3,3
0.102,0.058,0.594,0.06,0.08,0.106,2,2
0.026,0.144,0.044,0.038,0.59,0.158,4,4
0.038,0.28,0.104,0.05,0.188,0.34,5,5
0.008,0.026,0.008,0.012,0.016,0.93,5,5
0.05,0.242,0.068,0.078,0.184,0.378,5,5
0.016,0.338,0.052,0.064,0.208,0.322,5,1
0.04,0.136,0.064,0.142,0.352,0.266,5,4
0.18,0.116,0.094,0.268,0.166,0.176,3,3
0.02,0.078,0.05,0.03,0.042,0.78,1,5
0.02,0.134,0.584,0.032,0.096,0.134,2,2
0.478,0.046,0.028,0.164,0.076,0.208,0,0
0.764,0.028,0.06,0.088,0.022,0.038,5,0
0.068,0.078,0.05,0.612,0.052,0.14,3,3
0.022,0.146,0.074,0.016,0.028,0.714,5,5
0.006,0.226,0.072,0.014,0.076,0.606,4,5
0.156,0.062,0.062,0.316,0.164,0.24,4,3
0.004,0.328,0.182,0.006,0.044,0.436,1,5
0.002,0.274,0.038,0.006,0.074,0.606,5,5
0.238,0.144,0.136,0.116,0.182,0.184,0,0
0.362,0.084,0.04,0.242,0.106,0.166,1,0
0.036,0.324,0.08,0.054,0.134,0.372,5,5
0.026,0.192,0.092,0.088,0.198,0.404,5,5
0.094,0.168,0.062,0.094,0.088,0.494,5,5
0.01,0.074,0.172,0.018,0.412,0.314,4,4
0.0,0.3,0.036,0.012,0.012,0.64,1,5
0.654,0.048,0.06,0.122,0.028,0.088,0,0
0.068,0.158,0.064,0.11,0.338,0.262,1,4
