prob_gastrointestinal,prob_neural,prob_other,prob_respiratory,prob_systemic,prob_viraemic,true,pred
0.04,0.296,0.028,0.02,0.106,0.51,5,5
0.03,0.16,0.136,0.066,0.27,0.338,4,5
0.048,0.068,0.02,0.732,0.082,0.05,3,3
0.046,0.09,0.084,0.082,0.03,0.668,1,5
0.008,0.052,0.032,0.022,0.004,0.882,1,5
0.006,0.288,0.022,0.008,0.058,0.618,5,5
0.704,0.018,0.012,0.234,0.012,0.02,3,0
0.018,0.168,0.058,0.068,0.18,0.508,5,5
0.008,0.13,0.226,0.032,0.366,0.238,2,4
0.028,0.096,0.064,0.058,0.022,0.732,5,5
0.504,0.082,0.08,0.146,0.102,0.086,0,0
0.024,0.022,0.018,0.036,0.018,0.882,1,5
0.802,0.018,0.052,0.058,0.036,0.034,5,0
0.016,0.026,0.05,0.036,0.05,0.822,1,5
0.006,0.07,0.136,0.03,0.402,0.356,4,4
0.006,0.01,0.014,0.004,0.018,0.948,5,5
0.074,0.174,0.202,0.134,0.184,0.232,5,5
0.008,0.384,0.076,0.012,0.124,0.396,5,5
0.152,0.136,0.414,0.098,0.086,0.114,2,2
0.27,0.118,0.018,0.22,0.1,0.274,0,5
0.01,0.262,0.074,0.054,0.394,0.206,4,4
0.01,0.072,0.17,0.012,0.26,0.476,2,5
0.01,0.042,0.052,0.03,0.528,0.338,4,4
0.074,0.086,0.082,0.13,0.262,0.366,5,5
0.072,0.068,0.046,0.224,0.194,0.396,3,5
0.026,0.084,0.07,0.04,0.064,0.716,5,5
0.468,0.078,0.17,0.098,0.084,0.102,0,0
0.032,0.312,0.1,0.086,0.19,0.28,5,1
0.006,0.066,0.042,0.016,0.006,0.864,1,5
0.764,0.044,0.044,0.07,0.026,0.052,0,0
