prob_gastrointestinal,prob_neural,prob_other,prob_respiratory,prob_systemic,prob_viraemic,true,pred
0.03,0.112,0.02,0.044,0.026,0.768,5,5
0.012,0.164,0.136,0.008,0.012,0.668,5,5
0.014,0.598,0.026,0.004,0.032,0.326,1,1
0.254,0.182,0.12,0.094,0.156,0.194,0,0
0.08,0.204,0.188,0.12,0.112,0.296,3,5
0.018,0.456,0.106,0.012,0.114,0.294,5,1
0.62,0.016,0.03,0.302,0.006,0.026,3,0
0.63,0.046,0.046,0.126,0.026,0.126,0,0
0.074,0.122,0.086,0.368,0.06,0.29,3,3
0.066,0.126,0.108,0.052,0.11,0.538,5,5
0.006,0.344,0.132,0.012,0.094,0.412,5,5
0.09,0.088,0.556,0.06,0.108,0.098,2,2
0.026,0.044,0.026,0.024,0.012,0.868,5,5
0.058,0.096,0.048,0.216,0.278,0.304,1,5
0.11,0.214,0.194,0.128,0.148,0.206,2,1
0.774,0.01,0.016,0.158,0.0,0.042,0,0
0.018,0.288,0.114,0.028,0.036,0.516,1,5
0.1,0.174,0.118,0.082,0.134,0.392,1,5
0.012,0.056,0.062,0.022,0.668,0.18,4,4
0.09,0.116,0.092,0.19,0.23,0.282,5,5
0.016,0.192,0.072,0.02,0.082,0.618,4,5
0.01,0.056,0.22,0.022,0.436,0.256,4,4
0.016,0.242,0.072,0.042,0.43,0.198,4,4
0.07,0.172,0.08,0.09,0.142,0.446,5,5
0.112,0.186,0.198,0.054,0.188,0.262,5,5
0.02,0.254,0.084,0.032,0.07,0.54,5,5
0.042,0.052,0.684,0.048,0.094,0.08,2,2
0.02,0.038,0.018,0.022,0.014,0.888,5,5
0.012,0.62,0.064,0.012,0.164,0.128,1,1
0.566,0.106,0.1,0.062,0.044,0.122,0,0
