prob_gastrointestinal,prob_neural,prob_other,prob_respiratory,prob_systemic,prob_viraemic,true,pred
0.06,0.18,0.052,0.136,0.334,0.238,5,4
0.036,0.172,0.028,0.036,0.032,0.696,5,5
0.012,0.526,0.026,0.014,0.048,0.374,1,1
0.028,0.294,0.054,0.048,0.026,0.55,5,5
0.082,0.18,0.14,0.1,0.124,0.374,1,5
0.02,0.33,0.076,0.066,0.258,0.25,4,1
0.15,0.146,0.098,0.33,0.142,0.134,3,3
0.74,0.012,0.028,0.164,0.01,0.046,0,0
0.292,0.092,0.014,0.192,0.088,0.322,0,5
0.016,0.232,0.032,0.02,0.132,0.568,5,5
0.09,0.176,0.086,0.192,0.3,0.156,3,4
0.018,0.186,0.054,0.036,0.546,0.16,4,4
0.64,0.01,0.01,0.284,0.008,0.048,0,0
0.018,0.356,0.026,0.012,0.01,0.578,1,5
0.548,0.082,0.056,0.176,0.024,0.114,0,0
0.06,0.034,0.764,0.032,0.062,0.048,2,2
0.102,0.092,0.042,0.614,0.062,0.088,3,3
0.024,0.264,0.052,0.022,0.024,0.614,5,5
0.034,0.198,0.148,0.092,0.314,0.214,5,4
0.09,0.184,0.196,0.122,0.114,0.294,2,5
0.096,0.182,0.146,0.072,0.312,0.192,4,4
0.012,0.174,0.116,0.018,0.026,0.654,5,5
0.008,0.386,0.018,0.012,0.044,0.532,1,5
0.006,0.272,0.028,0.004,0.142,0.548,5,5
0.012,0.082,0.068,0.048,0.626,0.164,4,4
0.008,0.442,0.156,0.004,0.064,0.326,5,1
0.008,0.54,0.052,0.032,0.096,0.272,1,1
0.03,0.192,0.116,0.036,0.19,0.436,2,5
0.092,0.226,0.116,0.104,0.284,0.178,5,4
0.078,0.168,0.392,0.094,0.106,0.162,5,2
