prob_gastrointestinal,prob_neural,prob_other,prob_respiratory,prob_systemic,prob_viraemic,true,pred
0.002,0.218,0.044,0.006,0.004,0.726,5,5
0.018,0.24,0.01,0.014,0.132,0.586,5,5
0.012,0.254,0.116,0.03,0.046,0.542,1,5
0.092,0.122,0.158,0.366,0.114,0.148,0,3
0.042,0.04,0.774,0.042,0.062,0.04,2,2
0.02,0.33,0.034,0.012,0.134,0.47,5,5
0.002,0.586,0.02,0.002,0.074,0.316,2,1
0.078,0.218,0.312,0.062,0.106,0.224,2,2
0.006,0.046,0.02,0.02,0.026,0.882,5,5
0.026,0.16,0.104,0.02,0.05,0.64,5,5
0.012,0.63,0.068,0.034,0.146,0.11,1,1
0.088,0.102,0.082,0.442,0.086,0.2,3,3
0.01,0.502,0.046,0.004,0.054,0.384,5,1
0.016,0.31,0.028,0.002,0.008,0.636,1,5
0.068,0.116,0.03,0.106,0.058,0.622,5,5
0.008,0.094,0.192,0.02,0.498,0.188,4,4
0.074,0.22,0.068,0.102,0.13,0.406,5,5
0.01,0.144,0.066,0.032,0.594,0.154,4,4
0.026,0.138,0.042,0.084,0.06,0.65,5,5
0.786,0.024,0.032,0.102,0.02,0.036,5,0
0.202,0.164,0.132,0.104,0.178,0.22,0,5
0.02,0.122,0.104,0.04,0.204,0.51,4,5
0.09,0.106,0.084,0.288,0.12,0.312,3,5
0.076,0.082,0.052,0.176,0.214,0.4,3,5
0.398,0.152,0.024,0.168,0.084,0.174,0,0
0.006,0.066,0.088,0.068,0.592,0.18,4,4
0.786,0.012,0.032,0.142,0.01,0.018,0,0
0.01,0.384,0.02,0.012,0.06,0.514,1,5
0.03,0.146,0.078,0.076,0.378,0.292,5,4
0.012,0.468,0.006,0.01,0.048,0.456,1,1
