prob_gastrointestinal,prob_neural,prob_other,prob_respiratory,prob_systemic,prob_viraemic,true,pred
0.04,0.192,0.062,0.102,0.338,0.266,5,4
0.008,0.284,0.216,0.01,0.056,0.426,1,5
0.092,0.064,0.048,0.592,0.08,0.124,3,3
0.1,0.258,0.12,0.17,0.138,0.214,2,1
0.01,0.148,0.164,0.004,0.074,0.6,1,5
0.02,0.24,0.168,0.072,0.038,0.462,1,5
0.048,0.054,0.078,0.294,0.312,0.214,5,4
0.004,0.322,0.038,0.014,0.012,0.61,5,5
0.034,0.236,0.084,0.036,0.078,0.532,5,5
0.016,0.128,0.014,0.078,0.06,0.704,5,5
0.014,0.156,0.012,0.004,0.094,0.72,5,5
0.056,0.092,0.046,0.182,0.078,0.546,5,5
0.08,0.146,0.114,0.086,0.03,0.544,1,5
0.234,0.2,0.024,0.304,0.064,0.174,0,3
0.174,0.164,0.04,0.238,0.088,0.296,0,5
0.004,0.402,0.018,0.006,0.054,0.516,5,5
0.09,0.2,0.182,0.152,0.088,0.288,2,5
0.03,0.084,0.144,0.042,0.546,0.154,4,4
0.008,0.132,0.068,0.022,0.624,0.146,4,4
0.018,0.472,0.028,0.006,0.042,0.434,1,1
0.146,0.136,0.094,0.344,0.14,0.14,3,3
0.254,0.148,0.026,0.228,0.09,0.254,0,0
0.036,0.186,0.072,0.06,0.132,0.514,4,5
0.02,0.176,0.12,0.052,0.038,0.594,5,5
0.052,0.102,0.036,0.642,0.078,0.09,3,3
0.656,0.0,0.014,0.264,0.0,0.066,0,0
0.154,0.106,0.378,0.086,0.102,0.174,2,2
0.02,0.164,0.134,0.018,0.124,0.54,5,5
0.012,0.146,0.16,0.024,0.016,0.642,5,5
0.01,0.278,0.082,0.056,0.254,0.32,4,5
