prob_gastrointestinal,prob_neural,prob_other,prob_respiratory,prob_systemic,prob_viraemic,true,pred
0.14,0.142,0.31,0.148,0.108,0.152,2,2
0.018,0.066,0.014,0.03,0.032,0.84,5,5
0.002,0.326,0.042,0.006,0.06,0.564,5,5
0.016,0.164,0.066,0.054,0.146,0.554,5,5
0.002,0.038,0.014,0.018,0.014,0.914,5,5
0.732,0.016,0.046,0.178,0.006,0.022,0,0
0.006,0.034,0.014,0.014,0.014,0.918,5,5
0.07,0.112,0.052,0.372,0.11,0.284,3,3
0.602,0.054,0.058,0.136,0.052,0.098,0,0
0.016,0.128,0.078,0.038,0.574,0.166,4,4
0.008,0.05,0.056,0.03,0.696,0.16,4,4
0.044,0.198,0.1,0.072,0.362,0.224,5,4
0.006,0.216,0.112,0.052,0.16,0.454,1,5
0.102,0.094,0.066,0.342,0.168,0.228,3,3
0.018,0.172,0.064,0.062,0.37,0.314,4,4
0.012,0.15,0.112,0.014,0.034,0.678,5,5
0.012,0.368,0.024,0.002,0.038,0.556,5,5
0.12,0.178,0.098,0.188,0.236,0.18,3,4
0.002,0.224,0.084,0.014,0.096,0.58,4,5
0.366,0.124,0.132,0.086,0.054,0.238,0,0
0.74,0.056,0.04,0.084,0.014,0.066,5,0
0.012,0.31,0.038,0.0,0.024,0.616,1,5
0.02,0.616,0.054,0.028,0.174,0.108,1,1
0.004,0.078,0.308,0.03,0.352,0.228,2,4
0.008,0.374,0.286,0.004,0.066,0.262,1,1
0.068,0.198,0.378,0.09,0.088,0.178,5,2
0.012,0.622,0.018,0.01,0.018,0.32,1,1
0.004,0.338,0.014,0.004,0.03,0.61,5,5
0.568,0.052,0.158,0.088,0.05,0.084,0,0
0.07,0.04,0.714,0.028,0.062,0.086,2,2
