prob_gastrointestinal,prob_neural,prob_other,prob_respiratory,prob_systemic,prob_viraemic,true,pred
0.02,0.36,0.015,0.005,0.035,0.565,1,5
0.02,0.06,0.22,0.035,0.285,0.38,2,5
0.085,0.025,0.06,0.64,0.055,0.135,3,3
0.025,0.11,0.025,0.075,0.05,0.715,5,5
0.295,0.2,0.01,0.26,0.035,0.2,0,0
0.005,0.125,0.03,0.055,0.155,0.63,5,5
0.045,0.235,0.065,0.06,0.06,0.535,5,5
0.795,0.015,0.05,0.085,0.01,0.045,5,0
0.035,0.34,0.05,0.08,0.02,0.475,5,5
0.085,0.245,0.145,0.035,0.2,0.29,5,5
0.035,0.325,0.045,0.025,0.05,0.52,1,5
0.11,0.095,0.015,0.56,0.1,0.12,3,3
0.06,0.12,0.03,0.115,0.06,0.615,5,5
0.74,0.005,0.025,0.22,0.0,0.01,0,0
0.06,0.285,0.03,0.155,0.085,0.385,4,5
0.01,0.08,0.025,0.045,0.02,0.82,5,5
0.08,0.055,0.65,0.045,0.095,0.075,2,2
0.13,0.14,0.39,0.105,0.065,0.17,2,2
0.025,0.215,0.09,0.03,0.42,0.22,4,4
0.11,0.19,0.085,0.18,0.265,0.17,3,4
0.645,0.045,0.085,0.15,0.025,0.05,0,0
0.225,0.23,0.025,0.12,0.06,0.34,0,5
0.03,0.2,0.205,0.005,0.085,0.475,1,5
0.005,0.055,0.005,0.02,0.02,0.895,5,5
0.025,0.11,0.125,0.03,0.21,0.5,4,5
0.02,0.24,0.145,0.015,0.075,0.505,5,5
0.02,0.27,0.13,0.005,0.015,0.56,5,5
0.01,0.28,0.065,0.03,0.37,0.245,4,4
0.005,0.33,0.01,0.01,0.06,0.585,1,5
0.0,0.6,0.065,0.03,0.105,0.2,1,1
