prob_gastrointestinal,prob_neural,prob_other,prob_respiratory,prob_systemic,prob_viraemic,true,pred
0.604,0.058,0.056,0.136,0.024,0.122,0,0
0.306,0.144,0.108,0.098,0.166,0.178,0,0
0.006,0.592,0.04,0.018,0.1,0.244,1,1
0.012,0.436,0.078,0.016,0.032,0.426,5,1
0.008,0.124,0.052,0.062,0.246,0.508,2,5
0.53,0.092,0.112,0.118,0.046,0.102,0,0
0.002,0.302,0.03,0.018,0.016,0.632,1,5
0.01,0.086,0.212,0.024,0.318,0.35,2,5
0.004,0.154,0.144,0.004,0.08,0.614,1,5
0.086,0.116,0.066,0.174,0.246,0.312,5,5
0.02,0.092,0.032,0.018,0.154,0.684,5,5
0.01,0.096,0.098,0.02,0.532,0.244,4,4
0.514,0.086,0.096,0.17,0.032,0.102,0,0
0.018,0.338,0.06,0.058,0.052,0.474,5,5
0.002,0.282,0.192,0.0,0.038,0.486,1,5
0.096,0.122,0.026,0.116,0.088,0.552,5,5
0.012,0.066,0.21,0.028,0.388,0.296,2,4
0.014,0.112,0.116,0.058,0.492,0.208,4,4
0.04,0.156,0.04,0.152,0.12,0.492,3,5
0.028,0.32,0.072,0.032,0.096,0.452,5,5
0.008,0.07,0.01,0.016,0.014,0.882,5,5
0.076,0.258,0.08,0.108,0.32,0.158,5,4
0.014,0.266,0.046,0.042,0.432,0.2,4,4
0.108,0.072,0.018,0.644,0.074,0.084,3,3
0.032,0.284,0.074,0.052,0.02,0.538,5,5
0.246,0.088,0.038,0.42,0.08,0.128,3,3
0.016,0.32,0.03,0.022,0.132,0.48,5,5
0.0,0.226,0.032,0.002,0.138,0.602,5,5
0.01,0.05,0.04,0.066,0.49,0.344,4,4
0.014,0.436,0.042,0.016,0.084,0.408,1,1
