prob_gastrointestinal,prob_neural,prob_other,prob_respiratory,prob_systemic,prob_viraemic,true,pred
0.588,0.064,0.096,0.064,0.056,0.132,0,0
0.02,0.498,0.044,0.022,0.232,0.184,1,1
0.542,0.074,0.128,0.09,0.034,0.132,0,0
0.02,0.18,0.062,0.018,0.164,0.556,5,5
0.656,0.006,0.028,0.254,0.004,0.052,0,0
0.092,0.086,0.036,0.206,0.204,0.376,3,5
0.034,0.106,0.026,0.056,0.06,0.718,5,5
0.07,0.244,0.174,0.052,0.132,0.328,5,5
0.014,0.276,0.074,0.018,0.012,0.606,5,5
0.022,0.298,0.092,0.064,0.06,0.464,1,5
0.006,0.11,0.166,0.02,0.302,0.396,2,5
0.024,0.332,0.022,0.03,0.098,0.494,5,5
0.058,0.18,0.048,0.09,0.276,0.348,4,5
0.014,0.554,0.038,0.034,0.128,0.232,1,1
0.02,0.116,0.032,0.028,0.064,0.74,5,5
0.082,0.13,0.162,0.176,0.206,0.244,5,5
0.004,0.368,0.18,0.01,0.044,0.394,1,5
0.02,0.37,0.044,0.022,0.014,0.53,5,5
0.032,0.106,0.114,0.08,0.398,0.27,4,4
0.014,0.118,0.172,0.032,0.378,0.286,2,4
0.37,0.14,0.12,0.054,0.052,0.264,0,0
0.024,0.128,0.052,0.046,0.566,0.184,4,4
0.016,0.386,0.018,0.032,0.194,0.354,1,1
0.044,0.088,0.014,0.058,0.092,0.704,5,5
0.184,0.102,0.092,0.306,0.154,0.162,3,3
0.012,0.058,0.104,0.038,0.674,0.114,5,4
0.584,0.014,0.016,0.358,0.002,0.026,3,0
0.012,0.072,0.01,0.012,0.024,0.87,5,5
0.032,0.106,0.094,0.072,0.242,0.454,2,5
0.136,0.154,0.076,0.226,0.106,0.302,4,5
