prob_gastrointestinal,prob_neural,prob_other,prob_respiratory,prob_systemic,prob_viraemic,true,pred
0.012,0.218,0.064,0.03,0.094,0.582,5,5
0.056,0.24,0.11,0.106,0.172,0.316,1,5
0.02,0.08,0.118,0.05,0.648,0.084,5,4
0.008,0.056,0.308,0.016,0.314,0.298,2,4
0.372,0.106,0.018,0.294,0.026,0.184,0,0
0.014,0.384,0.078,0.026,0.02,0.478,5,5
0.13,0.148,0.176,0.206,0.11,0.23,5,5
0.004,0.004,0.016,0.002,0.034,0.94,5,5
0.598,0.026,0.018,0.298,0.01,0.05,3,0
0.012,0.128,0.062,0.026,0.57,0.202,4,4
0.016,0.216,0.096,0.058,0.174,0.44,1,5
0.01,0.116,0.046,0.042,0.574,0.212,1,4
0.06,0.128,0.074,0.23,0.202,0.306,3,5
0.008,0.028,0.012,0.018,0.02,0.914,1,5
0.01,0.256,0.026,0.002,0.064,0.642,5,5
0.048,0.18,0.074,0.042,0.084,0.572,5,5
0.014,0.332,0.06,0.028,0.042,0.524,5,5
0.04,0.18,0.112,0.05,0.144,0.474,5,5
0.0,0.272,0.052,0.02,0.106,0.55,5,5
0.16,0.156,0.118,0.216,0.098,0.252,4,5
0.574,0.078,0.06,0.122,0.048,0.118,0,0
0.008,0.548,0.052,0.012,0.162,0.218,1,1
0.572,0.074,0.044,0.164,0.03,0.116,0,0
0.14,0.118,0.34,0.14,0.132,0.13,2,2
0.016,0.12,0.074,0.038,0.412,0.34,4,4
0.008,0.508,0.16,0.018,0.054,0.252,5,1
0.012,0.118,0.16,0.046,0.576,0.088,4,4
0.078,0.12,0.04,0.174,0.228,0.36,3,5
0.118,0.088,0.566,0.07,0.068,0.09,2,2
0.562,0.05,0.03,0.24,0.032,0.086,0,0
