prob_gastrointestinal,prob_neural,prob_other,prob_respiratory,prob_systemic,prob_viraemic,true,pred
0.61,0.09,0.085,0.09,0.055,0.07,0,0
0.055,0.075,0.04,0.075,0.075,0.68,5,5
0.015,0.365,0.035,0.015,0.01,0.56,1,5
0.23,0.1,0.39,0.06,0.09,0.13,2,2
0.295,0.075,0.21,0.18,0.115,0.125,1,0
0.01,0.275,0.065,0.02,0.48,0.15,4,4
0.03,0.11,0.045,0.14,0.145,0.53,3,5
0.08,0.25,0.19,0.125,0.08,0.275,3,5
0.01,0.61,0.04,0.025,0.11,0.205,1,1
0.565,0.02,0.015,0.39,0.0,0.01,3,0
0.07,0.12,0.015,0.16,0.345,0.29,1,4
0.02,0.085,0.12,0.035,0.29,0.45,2,5
0.005,0.015,0.01,0.005,0.005,0.96,5,5
0.005,0.355,0.01,0.015,0.03,0.585,5,5
0.015,0.475,0.01,0.015,0.035,0.45,5,1
0.61,0.035,0.035,0.225,0.035,0.06,0,0
0.05,0.205,0.135,0.095,0.285,0.23,5,4
0.025,0.235,0.065,0.065,0.015,0.595,5,5
0.015,0.055,0.05,0.055,0.495,0.33,4,4
0.18,0.13,0.205,0.175,0.09,0.22,5,5
0.335,0.14,0.145,0.125,0.08,0.175,2,0
0.02,0.13,0.025,0.025,0.105,0.695,5,5
0.865,0.02,0.02,0.07,0.01,0.015,5,0
0.005,0.15,0.095,0.035,0.035,0.68,5,5
0.05,0.215,0.07,0.065,0.025,0.575,1,5
0.135,0.155,0.04,0.295,0.11,0.265,4,3
0.665,0.075,0.04,0.075,0.045,0.1,0,0
0.48,0.075,0.005,0.245,0.06,0.135,0,0
0.025,0.1,0.135,0.05,0.28,0.41,4,5
0.025,0.235,0.11,0.045,0.065,0.52,5,5
