prob_gastrointestinal,prob_neural,prob_other,prob_respiratory,prob_systemic,prob_viraemic,true,pred
0.024,0.098,0.106,0.056,0.274,0.442,2,5
0.036,0.12,0.026,0.084,0.07,0.664,5,5
0.006,0.434,0.194,0.01,0.06,0.296,5,1
0.002,0.466,0.31,0.01,0.048,0.164,1,1
0.582,0.008,0.012,0.318,0.006,0.074,0,0
0.012,0.252,0.132,0.05,0.152,0.402,1,5
0.106,0.138,0.088,0.214,0.248,0.206,3,4
0.012,0.594,0.026,0.004,0.028,0.336,1,1
0.018,0.05,0.012,0.012,0.022,0.886,5,5
0.358,0.094,0.028,0.278,0.07,0.172,0,0
0.084,0.09,0.058,0.346,0.166,0.256,3,3
0.146,0.058,0.088,0.272,0.146,0.29,4,5
0.574,0.006,0.018,0.348,0.002,0.052,0,0
0.002,0.178,0.064,0.022,0.554,0.18,4,4
0.276,0.112,0.018,0.26,0.108,0.226,1,0
0.02,0.102,0.008,0.022,0.018,0.83,5,5
0.008,0.602,0.042,0.026,0.12,0.202,1,1
0.004,0.078,0.026,0.036,0.02,0.836,5,5
0.1,0.174,0.074,0.05,0.094,0.508,5,5
0.04,0.208,0.052,0.05,0.126,0.524,5,5
0.01,0.142,0.098,0.026,0.04,0.684,5,5
0.012,0.082,0.184,0.012,0.508,0.202,4,4
0.022,0.124,0.042,0.036,0.172,0.604,5,5
0.26,0.102,0.03,0.204,0.09,0.314,0,5
0.008,0.414,0.088,0.02,0.024,0.446,5,5
0.042,0.174,0.024,0.092,0.048,0.62,5,5
0.086,0.054,0.632,0.06,0.092,0.076,2,2
0.086,0.052,0.04,0.64,0.068,0.114,3,3
0.004,0.098,0.286,0.038,0.362,0.212,2,4
0.016,0.146,0.066,0.054,0.504,0.214,4,4
