prob_gastrointestinal,prob_neural,prob_other,prob_respiratory,prob_systemic,prob_viraemic,true,pred
0.008,0.056,0.312,0.022,0.242,0.36,2,5
0.016,0.234,0.068,0.064,0.17,0.448,1,5
0.064,0.114,0.016,0.124,0.058,0.624,5,5
0.016,0.128,0.158,0.074,0.178,0.446,1,5
0.006,0.082,0.198,0.01,0.536,0.168,4,4
0.042,0.106,0.148,0.094,0.232,0.378,1,5
0.01,0.262,0.04,0.014,0.118,0.556,5,5
0.058,0.036,0.734,0.036,0.064,0.072,2,2
0.036,0.09,0.024,0.042,0.032,0.776,5,5
0.69,0.012,0.008,0.26,0.002,0.028,0,0
0.066,0.136,0.054,0.422,0.084,0.238,3,3
0.016,0.568,0.012,0.01,0.03,0.364,1,1
0.704,0.058,0.026,0.076,0.03,0.106,0,0
0.43,0.038,0.034,0.394,0.018,0.086,0,0
0.046,0.15,0.022,0.074,0.036,0.672,5,5
0.1,0.13,0.204,0.292,0.12,0.154,0,3
0.092,0.25,0.074,0.06,0.106,0.418,5,5
0.01,0.3,0.02,0.0,0.122,0.548,5,5
0.04,0.186,0.052,0.05,0.158,0.514,5,5
0.114,0.16,0.194,0.164,0.09,0.278,5,5
0.104,0.218,0.094,0.2,0.16,0.224,3,5
0.142,0.252,0.072,0.078,0.066,0.39,5,5
0.06,0.096,0.036,0.67,0.054,0.084,3,3
0.014,0.218,0.104,0.054,0.398,0.212,4,4
0.02,0.626,0.038,0.026,0.156,0.134,1,1
0.018,0.04,0.068,0.026,0.678,0.17,4,4
0.004,0.152,0.022,0.002,0.09,0.73,5,5
0.038,0.328,0.062,0.018,0.012,0.542,2,5
0.004,0.416,0.024,0.012,0.002,0.542,5,5
0.158,0.164,0.086,0.174,0.098,0.32,4,5
