prob_gastrointestinal,prob_neural,prob_other,prob_respiratory,prob_systemic,prob_viraemic,true,pred
0.625,0.04,0.02,0.14,0.015,0.16,0,0
0.015,0.13,0.155,0.005,0.275,0.42,2,5
0.165,0.1,0.025,0.59,0.055,0.065,3,3
0.025,0.14,0.045,0.045,0.08,0.665,5,5
0.03,0.455,0.04,0.025,0.105,0.345,1,1
0.13,0.11,0.045,0.2,0.28,0.235,3,4
0.485,0.105,0.07,0.105,0.085,0.15,0,0
0.555,0.01,0.02,0.3,0.015,0.1,3,0
0.52,0.08,0.095,0.09,0.025,0.19,0,0
0.0,0.34,0.045,0.01,0.145,0.46,5,5
0.005,0.335,0.005,0.02,0.08,0.555,5,5
0.025,0.195,0.04,0.045,0.03,0.665,5,5
0.0,0.43,0.085,0.02,0.06,0.405,5,1
0.13,0.195,0.195,0.155,0.115,0.21,2,5
0.025,0.315,0.095,0.015,0.19,0.36,5,5
0.02,0.09,0.035,0.065,0.635,0.155,1,4
0.02,0.335,0.055,0.03,0.03,0.53,5,5
0.045,0.165,0.17,0.1,0.185,0.335,1,5
0.02,0.065,0.01,0.02,0.02,0.865,5,5
0.005,0.325,0.02,0.01,0.13,0.51,5,5
0.76,0.01,0.03,0.16,0.0,0.04,0,0
0.01,0.04,0.065,0.03,0.645,0.21,4,4
0.11,0.075,0.52,0.105,0.09,0.1,2,2
0.045,0.055,0.33,0.1,0.265,0.205,4,2
0.055,0.055,0.095,0.1,0.315,0.38,4,5
0.06,0.16,0.09,0.07,0.35,0.27,5,4
0.02,0.035,0.01,0.015,0.02,0.9,5,5
0.055,0.235,0.02,0.165,0.15,0.375,4,5
0.195,0.13,0.215,0.195,0.115,0.15,1,2
0.08,0.18,0.09,0.08,0.325,0.245,1,4
