prob_gastrointestinal,prob_neural,prob_other,prob_respiratory,prob_systemic,prob_viraemic,true,pred
0.165,0.09726393442622949,0.047,0.49008196721311476,0.0761,0.12455409836065573,3,3
0.015916491596638653,0.08714684738005574,0.03601083996648513,0.05734110342573934,0.02067566664393371,0.7829090509871475,5,5
0.025098039215686273,0.24592693626280418,0.1913306451612903,0.035081967213114754,0.04599462365591398,0.4565677884911905,1,5
0.010098039215686274,0.27090678524374173,0.030090909090909092,0.010611888111888113,0.0914265734265734,0.5868658049112014,5,5
0.05,0.015,0.77,0.035227272727272725,0.09,0.03977272727272727,2,2
0.535,0.035,0.015,0.32,0.015,0.08,0,0
0.02,0.20810416666666667,0.077,0.010611888111888113,0.16007808857808858,0.5242058566433567,5,5
0.02,0.22584881954184197,0.0507525819201836,0.17020833333333335,0.24992413617238302,0.28326612903225806,5,5
0.025,0.25256148699653075,0.11804803646563816,0.0775,0.18287868162692844,0.34401179491090267,1,5
0.015,0.05250292033235581,0.3261022901829353,0.04,0.3599885630498534,0.20640622643485546,2,4
0.005104166666666667,0.3333091644505564,0.11020564516129032,0.020227272727272726,0.020161290322580645,0.5109924606716332,5,5
0.06020220588235294,0.10090020954223082,0.05009090909090909,0.155,0.08037272727272728,0.5534339482117798,5,5
0.065,0.185,0.08,0.11,0.38,0.18,5,4
0.085,0.07614455406094607,0.07017155425219941,0.35,0.13044310850439883,0.2882407831824557,3,3
0.1,0.24,0.335,0.085,0.0975,0.1425,5,2
0.005,0.4371217675132453,0.030465909090909092,0.01820922778771616,0.01665913156610831,0.49254396404202117,5,5
0.010104166666666668,0.05083846997774589,0.22118941139505655,0.01625,0.3438673509286413,0.35775060103188955,4,5
0.045098039215686274,0.34163730472426124,0.055090909090909086,0.025227272727272723,0.09718181818181819,0.4357646560600525,5,5
0.075,0.0855,0.035,0.64,0.105,0.059500000000000004,3,3
0.015,0.26291666666666663,0.04333333333333333,0.04,0.485,0.15375,4,4
0.010098039215686274,0.03024193548387097,0.06508064516129032,0.04,0.7209946236559139,0.13358475648323848,4,4
0.075,0.08548003072196622,0.5250806451612903,0.13,0.10516129032258065,0.07927803379416282,2,2
0.07,0.05024193548387097,0.07636852394916911,0.34,0.2005400782013685,0.2628494623655914,5,3
0.515,0.08526393442622951,0.09,0.12008196721311476,0.0501,0.13955409836065574,0,0
0.065,0.10638601630240832,0.10020564516129031,0.045,0.030261290322580642,0.6531470482137206,1,5
0.03,0.20583734508202597,0.060340909090909084,0.025728167181655555,0.08656822247519921,0.5915253561702102,4,5
0.025,0.29977798334875116,0.09521739130434781,0.07,0.1302173913043478,0.3797872340425532,1,5
0.075,0.25,0.050454545454545446,0.17272727272727273,0.3220454545454545,0.12977272727272726,1,4
0.35,0.13956521739130434,0.03117572463768116,0.21,0.09530830039525692,0.17395075757575756,0,0
0.495,0.05,0.18,0.14,0.035,0.1,0,0
