prob_gastrointestinal,prob_neural,prob_other,prob_respiratory,prob_systemic,prob_viraemic,true,pred
0.098,0.152,0.06,0.292,0.122,0.276,3,3
0.022,0.088,0.154,0.032,0.546,0.158,4,4
0.182,0.074,0.1,0.314,0.09,0.24,4,3
0.11,0.112,0.38,0.096,0.12,0.182,2,2
0.066,0.08,0.024,0.73,0.044,0.056,3,3
0.15,0.116,0.078,0.286,0.08,0.29,4,5
0.028,0.218,0.13,0.026,0.034,0.564,5,5
0.058,0.216,0.16,0.08,0.208,0.278,1,5
0.034,0.28,0.054,0.036,0.04,0.556,5,5
0.018,0.26,0.102,0.012,0.128,0.48,5,5
0.09,0.098,0.102,0.3,0.17,0.24,3,3
0.01,0.414,0.03,0.004,0.05,0.492,1,5
0.01,0.592,0.046,0.026,0.114,0.212,1,1
0.632,0.056,0.05,0.134,0.032,0.096,0,0
0.042,0.214,0.09,0.098,0.024,0.532,1,5
0.032,0.298,0.052,0.032,0.022,0.564,5,5
0.022,0.08,0.224,0.046,0.256,0.372,2,5
0.056,0.27,0.102,0.07,0.232,0.27,5,1
0.018,0.052,0.286,0.026,0.324,0.294,4,4
0.528,0.066,0.054,0.154,0.046,0.152,0,0
0.048,0.156,0.084,0.064,0.05,0.598,5,5
0.036,0.262,0.072,0.066,0.172,0.392,1,5
0.604,0.078,0.082,0.088,0.04,0.108,0,0
0.014,0.074,0.254,0.03,0.22,0.408,5,5
0.002,0.34,0.04,0.008,0.124,0.486,5,5
0.088,0.064,0.07,0.266,0.222,0.29,5,5
0.142,0.21,0.184,0.14,0.114,0.21,2,1
0.016,0.112,0.05,0.056,0.17,0.596,5,5
0.522,0.06,0.084,0.204,0.042,0.088,0,0
0.014,0.204,0.142,0.032,0.01,0.598,5,5
