prob_gastrointestinal,prob_neural,prob_other,prob_respiratory,prob_systemic,prob_viraemic,true,pred
0.022,0.086,0.042,0.03,0.098,0.722,5,5
0.072,0.096,0.1,0.128,0.27,0.334,5,5
0.014,0.042,0.106,0.02,0.726,0.092,5,4
0.02,0.076,0.006,0.034,0.018,0.846,5,5
0.028,0.222,0.134,0.08,0.214,0.322,1,5
0.004,0.538,0.13,0.004,0.03,0.294,5,1
0.036,0.086,0.328,0.084,0.226,0.24,4,2
0.176,0.068,0.056,0.488,0.096,0.116,3,3
0.032,0.148,0.08,0.024,0.048,0.668,1,5
0.06,0.13,0.068,0.192,0.108,0.442,3,5
0.018,0.454,0.044,0.022,0.166,0.296,1,1
0.064,0.03,0.722,0.032,0.082,0.07,2,2
0.072,0.178,0.076,0.094,0.346,0.234,1,4
0.024,0.432,0.054,0.04,0.176,0.274,1,1
0.01,0.258,0.198,0.012,0.016,0.506,5,5
0.018,0.228,0.11,0.056,0.022,0.566,5,5
0.024,0.234,0.098,0.028,0.118,0.498,4,5
0.136,0.092,0.184,0.296,0.102,0.19,0,3
0.008,0.172,0.188,0.024,0.024,0.584,5,5
0.04,0.088,0.022,0.062,0.052,0.736,5,5
0.644,0.048,0.042,0.108,0.028,0.13,0,0
0.036,0.038,0.742,0.046,0.094,0.044,2,2
0.094,0.132,0.082,0.198,0.31,0.184,3,4
0.014,0.134,0.114,0.078,0.216,0.444,4,5
0.598,0.054,0.12,0.078,0.05,0.1,0,0
0.024,0.266,0.106,0.044,0.026,0.534,5,5
0.004,0.102,0.178,0.03,0.238,0.448,2,5
0.04,0.132,0.122,0.092,0.316,0.298,4,4
0.004,0.34,0.056,0.02,0.014,0.566,5,5
0.5,0.06,0.102,0.126,0.036,0.176,0,0
