prob_gastrointestinal,prob_neural,prob_other,prob_respiratory,prob_systemic,prob_viraemic,true,pred
0.012,0.432,0.09,0.016,0.218,0.232,1,1
0.062,0.172,0.08,0.188,0.108,0.39,3,5
0.01,0.16,0.004,0.012,0.046,0.768,5,5
0.016,0.27,0.176,0.05,0.176,0.312,1,5
0.668,0.038,0.088,0.082,0.03,0.094,0,0
0.032,0.198,0.09,0.054,0.474,0.152,4,4
0.076,0.22,0.104,0.038,0.186,0.376,5,5
0.1,0.102,0.088,0.294,0.146,0.27,3,3
0.06,0.146,0.178,0.046,0.3,0.27,5,4
0.018,0.05,0.138,0.016,0.436,0.342,4,4
0.066,0.286,0.11,0.074,0.27,0.194,5,1
0.098,0.096,0.526,0.064,0.116,0.1,2,2
0.13,0.154,0.08,0.076,0.204,0.356,5,5
0.014,0.168,0.12,0.048,0.14,0.51,2,5
0.168,0.162,0.368,0.09,0.06,0.152,2,2
0.018,0.134,0.112,0.034,0.182,0.52,4,5
0.448,0.116,0.014,0.216,0.042,0.164,0,0
0.006,0.202,0.114,0.024,0.02,0.634,5,5
0.032,0.09,0.072,0.06,0.176,0.57,5,5
0.01,0.122,0.036,0.002,0.05,0.78,4,5
0.016,0.432,0.066,0.026,0.24,0.22,1,1
0.58,0.058,0.062,0.116,0.058,0.126,0,0
0.04,0.18,0.038,0.066,0.288,0.388,5,5
0.192,0.182,0.098,0.258,0.14,0.13,3,3
0.018,0.244,0.08,0.024,0.046,0.588,5,5
0.512,0.062,0.144,0.106,0.046,0.13,0,0
0.024,0.492,0.104,0.016,0.21,0.154,1,1
0.088,0.204,0.36,0.088,0.064,0.196,5,2
0.092,0.216,0.186,0.056,0.174,0.276,5,5
0.012,0.254,0.116,0.01,0.054,0.554,1,5
