prob_gastrointestinal,prob_neural,prob_other,prob_respiratory,prob_systemic,prob_viraemic,true,pred
0.06,0.02,0.75,0.06,0.05,0.06,2,2
0.055,0.12,0.05,0.09,0.095,0.59,5,5
0.025,0.02,0.01,0.005,0.015,0.925,5,5
0.495,0.095,0.055,0.17,0.04,0.145,0,0
0.0,0.205,0.075,0.02,0.545,0.155,4,4
0.685,0.015,0.015,0.235,0.005,0.045,0,0
0.025,0.28,0.055,0.085,0.27,0.285,5,5
0.06,0.15,0.03,0.145,0.065,0.55,5,5
0.57,0.085,0.045,0.095,0.06,0.145,0,0
0.08,0.195,0.36,0.05,0.115,0.2,2,2
0.01,0.18,0.365,0.01,0.11,0.325,1,2
0.095,0.185,0.225,0.095,0.085,0.315,2,5
0.525,0.075,0.045,0.115,0.04,0.2,0,0
0.0,0.03,0.06,0.045,0.495,0.37,4,4
0.01,0.205,0.09,0.055,0.03,0.61,5,5
0.035,0.125,0.015,0.085,0.045,0.695,5,5
0.015,0.095,0.03,0.045,0.06,0.755,5,5
0.005,0.22,0.23,0.005,0.095,0.445,1,5
0.08,0.27,0.025,0.165,0.13,0.33,4,5
0.005,0.51,0.05,0.02,0.185,0.23,1,1
0.1,0.12,0.04,0.325,0.17,0.245,3,3
0.03,0.265,0.05,0.01,0.02,0.625,5,5
0.03,0.22,0.05,0.1,0.22,0.38,5,5
0.005,0.05,0.07,0.035,0.6,0.24,4,4
0.565,0.01,0.02,0.36,0.015,0.03,3,0
0.01,0.33,0.085,0.015,0.05,0.51,5,5
0.045,0.065,0.025,0.705,0.075,0.085,3,3
0.045,0.215,0.075,0.14,0.3,0.225,1,4
0.025,0.155,0.2,0.115,0.185,0.32,1,5
0.005,0.095,0.05,0.04,0.135,0.675,5,5
