prob_gastrointestinal,prob_neural,prob_other,prob_respiratory,prob_systemic,prob_viraemic,true,pred
0.022058823529411766,0.2232114052464295,0.0579355194997664,0.051143758735150244,0.01652946978050374,0.6291210232087384,5,5
0.03305764411027569,0.16186728337406667,0.0893927209327667,0.047210526315789474,0.41151335347845647,0.25695847178864506,4,4
0.010280490196078433,0.03382470629798032,0.031210499572697628,0.020460322040291294,0.03533758063905453,0.8688864012538978,1,5
0.018220238095238095,0.21469927209437184,0.17732582480849274,0.029504157595549106,0.17965467535425864,0.3805958320520896,1,5
0.058125,0.03625,0.698375,0.04,0.094125,0.073125,2,2
0.6161216666666667,0.03248033245556287,0.04878748299319728,0.12,0.038450980392156865,0.1441595374924163,0,0
0.016,0.20126585308872713,0.03601731176432264,0.06265384615384616,0.2546984437408167,0.42936454525228757,5,5
0.004,0.4515911534930492,0.1632610636645963,0.004157963280604791,0.04003031955930911,0.33695950000244057,5,1
0.06470271241830065,0.05453567006736441,0.023991694199208755,0.07048763297621072,0.09739284565591716,0.6888894446829984,5,5
0.48106666666666664,0.06963995891114536,0.12366666666666667,0.11916723163841807,0.049,0.15745947611710323,0,0
0.2974,0.0724,0.041,0.408,0.0528,0.12840000000000001,3,3
0.009141666666666666,0.056753966869171356,0.14951221630062145,0.022785254576659038,0.44110040635602116,0.3207064892308603,4,4
0.021184126984126982,0.17097256559271654,0.08710923351801993,0.037351146318987435,0.23486426156047227,0.44851866602567686,5,5
0.07,0.12275458937198067,0.2785,0.132,0.12833333333333333,0.26841207729468597,5,2
0.01646984126984127,0.02353528531712675,0.0689350688975403,0.03257692307692308,0.684087912465931,0.17439496897263754,4,4
0.06654722222222222,0.18520423265460031,0.05444471153846154,0.12833333333333333,0.3026632948321029,0.26280720541927977,1,4
0.05614771241830065,0.18118446802498914,0.09970647648954653,0.06927622377622379,0.11394382434247667,0.47974129494846324,5,5
0.618,0.004,0.038,0.29,0.004,0.046,3,0
0.008041666666666666,0.25980600946828336,0.14988332025217793,0.004589885301104556,0.08766551118896997,0.4900136071227975,1,5
0.114,0.1380800304878049,0.23629434920893938,0.14603125,0.13710505319148936,0.22848931711176634,2,2
0.038285714285714284,0.0815217823971694,0.6396541353383459,0.036,0.06654636591478696,0.13799200206398346,2,2
0.418,0.04003389830508475,0.154,0.14803389830508473,0.036,0.2039322033898305,0,0
0.03460049019607842,0.22604223966397438,0.05662543125034405,0.034113741582491586,0.04482210656482218,0.6037959907422894,5,5
0.246,0.11614814814814815,0.202,0.17,0.122,0.14385185185185184,1,0
0.125925,0.0531801091565751,0.10015326304434818,0.3135877444589309,0.16760496589940324,0.23954891744074258,4,3
0.01824771241830065,0.10891307343814864,0.06095944359248833,0.02907284748689346,0.18296510962392862,0.5998418134402402,5,5
0.04626888888888889,0.10638323026977,0.07509737822766839,0.11550499247283358,0.07963477650493905,0.5771107336359,3,5
0.04821055555555555,0.019161383079040802,0.018537558539123433,0.054224562964499415,0.041326865821487674,0.8185390740402931,5,5
0.026422950513538747,0.10742984059286409,0.058353640733795446,0.030867746159150625,0.13440088254649737,0.6425249394541537,5,5
0.504455,0.07179521026592456,0.058787482993197276,0.144,0.05024,0.17072230674087815,0,0
