prob_gastrointestinal,prob_neural,prob_other,prob_respiratory,prob_systemic,prob_viraemic,true,pred
0.028,0.13,0.024,0.036,0.07,0.712,5,5
0.11,0.13,0.17,0.348,0.112,0.13,0,3
0.01,0.074,0.178,0.024,0.416,0.298,4,4
0.042,0.254,0.134,0.094,0.188,0.288,1,5
0.066,0.1,0.048,0.196,0.31,0.28,1,4
0.036,0.2,0.074,0.036,0.136,0.518,5,5
0.024,0.222,0.096,0.048,0.132,0.478,5,5
0.004,0.454,0.014,0.004,0.032,0.492,1,5
0.018,0.318,0.066,0.072,0.204,0.322,5,5
0.094,0.102,0.034,0.634,0.034,0.102,3,3
0.004,0.144,0.246,0.012,0.044,0.55,1,5
0.014,0.22,0.086,0.026,0.476,0.178,4,4
0.158,0.112,0.122,0.232,0.092,0.284,4,5
0.088,0.114,0.042,0.258,0.204,0.294,3,5
0.538,0.038,0.04,0.278,0.018,0.088,0,0
0.004,0.164,0.36,0.012,0.06,0.4,1,5
0.028,0.258,0.11,0.092,0.206,0.306,5,5
0.014,0.16,0.096,0.05,0.166,0.514,2,5
0.024,0.07,0.136,0.022,0.662,0.086,5,4
0.032,0.156,0.158,0.068,0.264,0.322,4,5
0.042,0.04,0.728,0.05,0.082,0.058,2,2
0.096,0.06,0.652,0.04,0.084,0.068,2,2
0.012,0.362,0.058,0.02,0.024,0.524,5,5
0.008,0.228,0.108,0.02,0.038,0.598,5,5
0.246,0.16,0.132,0.096,0.148,0.218,0,0
0.022,0.184,0.056,0.084,0.24,0.414,5,5
0.622,0.012,0.024,0.294,0.008,0.04,3,0
0.088,0.18,0.098,0.13,0.172,0.332,5,5
0.736,0.032,0.018,0.074,0.02,0.12,0,0
0.034,0.05,0.022,0.058,0.098,0.738,5,5
