prob_gastrointestinal,prob_neural,prob_other,prob_respiratory,prob_systemic,prob_viraemic,true,pred
0.01,0.066,0.11,0.05,0.644,0.12,5,4
0.012,0.104,0.064,0.02,0.624,0.176,4,4
0.076,0.086,0.014,0.08,0.048,0.696,5,5
0.014,0.554,0.07,0.012,0.186,0.164,1,1
0.028,0.102,0.066,0.034,0.124,0.646,5,5
0.638,0.064,0.044,0.098,0.036,0.12,0,0
0.056,0.12,0.04,0.146,0.068,0.57,3,5
0.022,0.398,0.032,0.02,0.074,0.454,1,5
0.008,0.078,0.264,0.018,0.32,0.312,2,4
0.694,0.006,0.018,0.222,0.004,0.056,0,0
0.006,0.354,0.092,0.006,0.138,0.404,5,5
0.588,0.042,0.066,0.178,0.04,0.086,0,0
0.01,0.372,0.044,0.018,0.012,0.544,5,5
0.062,0.296,0.076,0.114,0.244,0.208,5,1
0.142,0.17,0.108,0.218,0.156,0.206,3,3
0.006,0.026,0.01,0.014,0.014,0.93,5,5
0.016,0.242,0.126,0.012,0.012,0.592,5,5
0.046,0.252,0.058,0.06,0.15,0.434,5,5
0.006,0.068,0.078,0.044,0.706,0.098,4,4
0.132,0.174,0.178,0.138,0.126,0.252,2,5
0.14,0.162,0.098,0.18,0.116,0.304,4,5
0.126,0.136,0.33,0.106,0.102,0.2,2,2
0.238,0.104,0.208,0.156,0.098,0.196,1,0
0.044,0.298,0.05,0.118,0.246,0.244,5,1
0.018,0.616,0.066,0.026,0.204,0.07,1,1
0.008,0.304,0.034,0.028,0.104,0.522,5,5
0.008,0.322,0.03,0.016,0.012,0.612,1,5
0.692,0.038,0.076,0.08,0.014,0.1,0,0
0.222,0.098,0.042,0.424,0.1,0.114,3,3
0.01,0.098,0.174,0.022,0.494,0.202,4,4
