prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,taxid,true,pred
0.0,0.18277064611285276,0.5395037824291304,0.27772557145801685,11137,respiratory,respiratory
0.0,0.11041659716948542,0.0,0.8895834028305146,2748762,vector,vector
0.0,0.1612595848602973,0.6093853988302125,0.2293550163094902,694009,direct contact,respiratory
0.0,0.0,0.0,1.0,59304,vector,vector
0.2962948625743588,0.0,0.13460307383597364,0.5691020635896676,2955291,direct contact,vector
0.35823483370416465,0.6417651662958354,0.0,0.0,1803956,faecal-oral,faecal-oral
0.0,0.0,0.0,1.0,3052387,vector,vector
0.12318576810077461,0.0,0.0,0.8768142318992254,1972574,vector,vector
0.0,0.0,1.0,0.0,3052474,respiratory,respiratory
0.13095983466178832,0.119569137470089,0.12870587752569704,0.6207651503424257,40053,vector,vector
0.4294508831868091,0.570549116813191,0.0,0.0,138950,direct contact,faecal-oral
0.0,0.0,0.0,1.0,48543,vector,vector
0.23678958698955185,0.7632104130104482,0.0,0.0,1239570,faecal-oral,faecal-oral
0.1390610911071353,0.2917455399668056,0.2878574427450903,0.28133592618096875,2003649,faecal-oral,faecal-oral
0.0,0.0,0.0,1.0,11024,vector,vector
0.0,0.0,0.0,1.0,3052426,vector,vector
0.7668194456175855,0.0,0.0,0.23318055438241436,11292,direct contact,direct contact
0.4227851771877313,0.5772148228122687,0.0,0.0,138951,direct contact,faecal-oral
0.4852972273414657,0.0,0.25689346107697375,0.25780931158156056,3048148,direct contact,direct contact
0.0,0.0,0.6945159185060289,0.3054840814939711,1933189,vector,respiratory
0.0,0.0,0.0,1.0,3052390,vector,vector
0.29085838681172616,0.0,0.408998621438089,0.3001429917501849,1933191,vector,respiratory
0.12088049922042947,0.0,0.8791195007795706,0.0,3052303,respiratory,respiratory
0.0,0.0,0.0,1.0,11029,vector,vector
0.271459291520263,0.0,0.28605854110651474,0.44248216737322227,1933190,vector,vector
0.42274247852108027,0.0,0.3063923498062548,0.27086517167266494,3052342,direct contact,direct contact
0.924120781706603,0.0,0.07587921829339704,0.0,3052458,direct contact,direct contact
0.12238681842142198,0.5184732459529581,0.0,0.35913993562562013,28876,faecal-oral,faecal-oral
0.0,0.24292264127912877,0.6602902287757838,0.0967871299450873,694003,respiratory,respiratory
