Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2022	Metabolism Of RNA R-HSA-8953854	40/666	5.42374146880217e-35	2.023055567863209e-32	0	0	24.15961911921318	1906.1865162725264	PSMD12;PSMD11;SF3B3;PSMD14;RBM8A;SF3B6;DDX1;SRSF1;RPL10L;DDX20;PPP2R2A;PRPF19;RPL6;EFTUD2;PSMD6;PSMD7;PUF60;BMS1;PSMD3;RPL14;RPL38;RPS12;HNRNPA0;PRMT5;SF3A2;NCBP2;PSMA5;HNRNPM;NUDT21;RPS28;PRPF6;SNW1;RPS29;SNRPG;SRSF3;RNPS1;SRSF5;SNRPC;SRSF7;RBMX
GO_Biological_Process_2021	mRNA splicing, via spliceosome (GO:0000398)	28/274	1.7261509603536733e-30	1.0529520858157407e-27	0	0	35.524841915085815	2434.576342861661	SF3B3;RBM8A;SF3B6;DDX1;SRSF1;DDX20;PRPF19;EFTUD2;PUF60;HNRNPA0;SRPK3;PRMT5;SF3A2;NCBP2;HNRNPM;NUDT21;SFPQ;PRPF6;SNW1;PSPC1;SNRPG;SRSF3;RNPS1;SRSF5;HNRNPH3;SNRPC;SRSF7;RBMX
GO_Biological_Process_2021	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	24/251	2.1697495839444206e-25	6.617736231030483e-23	0	0	31.05845223223092	1763.8099856330025	SF3B3;SF3A2;RBM8A;NCBP2;SF3B6;SRSF1;PRPF19;EFTUD2;HNRNPM;NUDT21;SFPQ;PRPF6;SNW1;PUF60;PSPC1;SNRPG;SRSF3;RNPS1;SRSF5;HNRNPH3;SNRPC;SRSF7;RBMX;HNRNPA0
Reactome_2022	mRNA Splicing - Major Pathway R-HSA-72163	21/181	4.788625325679517e-24	8.9307862323923e-22	0	0	37.029375	1988.3218715411888	SF3B3;SF3A2;RBM8A;NCBP2;SF3B6;SRSF1;PRPF19;EFTUD2;HNRNPM;NUDT21;PRPF6;SNW1;PUF60;SNRPG;SRSF3;RNPS1;SRSF5;SNRPC;SRSF7;RBMX;HNRNPA0
Reactome_2022	mRNA Splicing R-HSA-72172	21/189	1.2190182106333595e-23	1.5156459752208103e-21	0	0	35.25178571428572	1859.9339668752136	SF3B3;SF3A2;RBM8A;NCBP2;SF3B6;SRSF1;PRPF19;EFTUD2;HNRNPM;NUDT21;PRPF6;SNW1;PUF60;SNRPG;SRSF3;RNPS1;SRSF5;SNRPC;SRSF7;RBMX;HNRNPA0
GO_Biological_Process_2021	ribonucleoprotein complex assembly (GO:0022618)	19/136	2.1498646213400226e-23	3.2785435475435346e-21	0	0	44.64007597340931	2329.946458493113	SRPK3;PRMT5;SF3A2;DDX1;SRSF1;RPL10L;DDX20;PRPF19;TARBP2;RPL6;NUDT21;RPS28;PRPF6;PUF60;SNRPG;RPL24;RPL38;SRSF5;SNRPC
GO_Biological_Process_2021	mRNA processing (GO:0006397)	24/300	1.616787925925802e-23	3.2785435475435346e-21	0	0	25.480856586632058	1337.2102733604509	SF3B3;SF3A2;RBM8A;NCBP2;SF3B6;SRSF1;PRPF19;EFTUD2;HNRNPM;NUDT21;SFPQ;PRPF6;SNW1;PUF60;PSPC1;SNRPG;SRSF3;RNPS1;SRSF5;HNRNPH3;SNRPC;SRSF7;RBMX;HNRNPA0
Reactome_2022	Processing Of Capped Intron-Containing Pre-mRNA R-HSA-72203	21/242	2.375991471564496e-21	2.2156120472338924e-19	0	0	26.72579185520362	1269.1777122731285	SF3B3;SF3A2;RBM8A;NCBP2;SF3B6;SRSF1;PRPF19;EFTUD2;HNRNPM;NUDT21;PRPF6;SNW1;PUF60;SNRPG;SRSF3;RNPS1;SRSF5;SNRPC;SRSF7;RBMX;HNRNPA0
Reactome_2022	Regulation Of Expression Of SLITs And ROBOs R-HSA-9010553	17/167	1.3703670059576437e-18	1.0222937864444022e-16	0	0	30.26153153153153	1244.700764389787	PSMD12;PSMD11;PSMD14;RBM8A;NCBP2;RPL10L;RPL6;PSMA5;PSMD6;RPS28;PSMD7;RPS29;PSMD3;RPL14;RNPS1;RPL38;RPS12
Reactome_2022	Signaling By ROBO Receptors R-HSA-376176	17/209	6.37516589393055e-17	3.9632281307268255e-15	0	0	23.59156813063063	879.7658232716485	PSMD12;PSMD11;PSMD14;RBM8A;NCBP2;RPL10L;RPL6;PSMA5;PSMD6;RPS28;PSMD7;RPS29;PSMD3;RPL14;RNPS1;RPL38;RPS12
