UniProt	SHAP	GeneSymbol	Category
Q14938	0.0016539009494191	NFIX	Other
Q13555	0.0016377427587502	CAMK2G	Immune/Virus
Q9NZ43	0.0016376772375211	USE1	Other
P15531	0.0016275599862495	NME1	Other
Q96AQ6	0.0016272942029356	PBXIP1	Other
O75496	0.0016141393476634	GMNN	Other
P25398	0.0016079954867811	RPS12	Other
Q92820	0.0016036382280012	GGH	Immune/Virus
O15514	0.0015946751439108	POLR2D	Other
P68104	0.0015878640154352	EEF1A1	Immune/Virus
O43852	0.0015712945392188	CALU	Other
Q13188	0.0015545225854799	STK3	Other
P30825	0.00155403792791	SLC7A1	Other
Q15907	0.0015302024736331	RAB11B	Other
P21912	0.0015195521569596	SDHB	Other
Q9NYL9	0.0015161269428987	TMOD3	Other
Q9Y3E0	0.0014936095110654	GOLT1B	Other
Q9UI12	0.00148102111185	ATP6V1H	Other
P08758	0.0014807773841039	ANXA5	Other
Q13595	0.0014768525782727	TRA2A	Other
Q15750	0.0014748909085169	TAB1	Immune/Virus
O76024	0.0014587002742763	WFS1	Other
O14744	0.0014509430984902	PRMT5	Other
P01889	0.0014476006568645	HLA-B	Immune/Virus
Q6Y7W6	0.0014453508488169	GIGYF2	Other
Q15303	0.0014368944395597	ERBB4	Other
P83111	0.0014350491786121	LACTB	Other
Q14498	0.0014337243681142	RBM39	Other
P38159	0.0014322809798214	RBMX	Other
Q9H9B4	0.0014305408438726	SFXN1	Other
P31947	0.0014268820407901	SFN	Other
O75461	0.0014229506836754	E2F6	Other
P08173	0.0014151096486921	CHRM4	Other
P25445	0.0014143176799784	FAS	Other
Q9Y3D6	0.0014132099458604	FIS1	Other
P10242	0.0013937516003267	MYB	Immune/Virus
Q8N257	0.0013826361665667	H2BC26	Other
O75340	0.0013810904360722	PDCD6	Other
P62487	0.0013787465268276	POLR2G	Other
Q9BVG8	0.0013679207568386	KIFC3	Other
Q9NQC7	0.0013666459817085	CYLD	Immune/Virus
O95271	0.0013665373259844	TNKS	Other
Q9UQ80	0.0013541155268247	PA2G4	Immune/Virus
Q04637	0.001353275319705	EIF4G1	Other
P49756	0.0013508507403514	RBM25	Other
Q29RF7	0.0013499733022066	PDS5A	Other
Q9Y3C5	0.0013440721046299	RNF11	Other
O95684	0.0013439393141524	CEP43	Other
Q9NQB0	0.001342948763092	TCF7L2	Other
Q01995	0.0013322258267186	TAGLN	Other
O60437	0.0013293557545069	PPL	Other
Q14566	0.0013261357329294	MCM6	Other
Q9H307	0.0013253627611324	PNN	Other
P51572	0.0013248890387679	BCAP31	Immune/Virus
P02751	0.0013207405339816	FN1	Other
Q8N488	0.0013206170385816	RYBP	Other
O75934	0.0013161797914627	BCAS2	Other
P49840	0.0013070660788109	GSK3A	Other
Q13277	0.0013031312187988	STX3	Other
Q08379	0.0013002691695463	GOLGA2	Other
O75439	0.001298394037261	PMPCB	Other
P25800	0.0012978274090325	LMO1	Other
Q01844	0.0012943364649953	EWSR1	Other
O95983	0.0012907124610339	MBD3	Other
Q15427	0.0012855651963453	SF3B4	Other
O15078	0.0012803142855903	CEP290	Immune/Virus
O75688	0.001268593286822	PPM1B	Immune/Virus
P10276	0.0012622405876415	RARA	Immune/Virus
Q9Y3B4	0.001260073527133	SF3B6	Other
P61244	0.0012485211634229	MAX	Other
Q15077	0.0012467492730942	P2RY6	Other
P21281	0.0012421935192409	ATP6V1B2	Other
P52298	0.0012248305611496	NCBP2	Other
Q9Y3D9	0.0012204260063982	MRPS23	Other
P22392	0.0012180857660321	NME2	Immune/Virus
Q08AM6	0.001205063507431	VAC14	Other
P04637	0.0012017604928175	TP53	Other
P19838	0.0011931613780492	NFKB1	Immune/Virus
O00165	0.0011901171034482	HAX1	Other
Q93009	0.0011841197042544	USP7	Other
Q9Y2M5	0.0011838582778679	KLHL20	Immune/Virus
P36507	0.0011717784492079	MAP2K2	Other
Q13418	0.0011701895706775	ILK	Other
Q9NR28	0.0011664544513663	DIABLO	Other
Q9H3D4	0.0011657190438379	TP63	Other
Q5T7N2	0.0011604443855664	L1TD1	Other
Q92633	0.0011574943845513	LPAR1	Other
P21860	0.001153690478707	ERBB3	Other
Q13347	0.0011481006979758	EIF3I	Other
Q9Y2I6	0.0011455021947124	NINL	Other
O15372	0.0011322975434583	EIF3H	Other
P37108	0.0011312596625862	SRP14	Immune/Virus
Q15154	0.0011289134625023	PCM1	Other
P49821	0.001123051227355	NDUFV1	Other
P17066	0.0011220669458529	HSPA6	Immune/Virus
Q9UPE1	0.0011146110654622	SRPK3	Other
P37802	0.0010938986007922	TAGLN2	Other
Q9H4B7	0.0010910921238712	TUBB1	Other
Q99873	0.0010750788635654	PRMT1	Other
Q9BWF3	0.001063016363747	RBM4	Other
Q12857	0.0010612839302659	NFIA	Other
Q8WUW1	0.001060208715813	BRK1	Other
Q2TAC2	0.0010600029723426	CCDC57	Other
Q92614	0.0010553980429874	MYO18A	Immune/Virus
Q969T4	0.0010521986184625	UBE2E3	Other
Q969G3	0.0010388182537131	SMARCE1	Other
O75147	0.0010332985176126	OBSL1	Other
Q8WXF1	0.0010307508026956	PSPC1	Other
Q14692	0.0010281481682625	BMS1	Other
Q01814	0.0010245502482474	ATP2B2	Other
Q9H0A0	0.0010241612823715	NAT10	Other
P19404	0.0010186713611663	NDUFV2	Other
O75607	0.001018238860428	NPM3	Other
P19438	0.0010168557059755	TNFRSF1A	Other
P50914	0.0010023307726679	RPL14	Other
P60709	0.0010004658439717	ACTB	Other
P23284	0.000999289502791	PPIB	Other
Q00765	0.0009910405941565	REEP5	Other
P13804	0.0009896672917665	ETFA	Other
O60493	0.0009826261894072	SNX3	Other
P31942	0.000978367202848	HNRNPH3	Other
Q86TM6	0.0009724384387371	SYVN1	Other
P02511	0.0009717144466862	CRYAB	Other
Q16531	0.0009678574425147	DDB1	Immune/Virus
Q16594	0.0009665266673832	TAF9	Other
P13693	0.0009658981223227	TPT1	Other
P62308	0.0009593689887893	SNRPG	Other
P22061	0.0009557436729698	PCMT1	Other
O43889	0.0009530596496137	CREB3	Other
Q14683	0.000951399855027	SMC1A	Other
Q9Y5V3	0.0009513275716765	MAGED1	Other
P37840	0.0009296443278979	SNCA	Immune/Virus
P21675	0.0009280284096758	TAF1	Other
P61201	0.0009235764240954	COPS2	Other
Q13243	0.0009223259930667	SRSF5	Other
Q7RTV0	0.0009215077986685	PHF5A	Other
Q96QK1	0.0009202697904504	VPS35	Other
P00441	0.0009200079358091	SOD1	Other
Q9UHI6	0.0009191998230149	DDX20	Other
Q9H583	0.0009158446710737	HEATR1	Other
O75955	0.0009118588049773	FLOT1	Immune/Virus
P68032	0.000908460392903	ACTC1	Other
Q8IY31	0.0008932923405832	IFT20	Other
P27694	0.000886393222939	RPA1	Other
Q9C0B5	0.0008797904264345	ZDHHC5	Other
Q13601	0.0008750838016151	KRR1	Other
Q9NS69	0.0008644731700972	TOMM22	Other
Q93050	0.0008630811273713	ATP6V0A1	Immune/Virus
P28799	0.0008622244134056	GRN	Immune/Virus
Q96L21	0.000855691545977	RPL10L	Other
P78347	0.000846127402689	GTF2I	Other
Q15942	0.0008457896632951	ZYX	Other
P35221	0.0008438312351184	CTNNA1	Other
P84243	0.0008381572303687	H3-3B	Other
Q01664	0.0008282230670136	TFAP4	Other
P25791	0.0008213205428665	LMO2	Other
P61758	0.0008135843166338	VBP1	Other
P61073	0.0008107802407411	CXCR4	Immune/Virus
O75306	0.0008107076778149	NDUFS2	Other
Q9GZT6	0.0008106233140403	CCDC90B	Other
Q9Y2X8	0.0008104971261814	UBE2D4	Other
Q93062	0.0008099032607202	RBPMS	Other
Q8WUM4	0.0008015163064497	PDCD6IP	Other
Q9UEU0	0.0008008485155348	VTI1B	Other
Q15369	0.0008004674232149	ELOC	Other
P27482	0.0007897276818903	CALML3	Other
Q14790	0.0007893123258073	CASP8	Immune/Virus
P62273	0.0007847408648596	RPS29	Other
Q96GG9	0.0007833058624038	DCUN1D1	Other
O95678	0.0007819162192285	KRT75	Other
O94906	0.0007816073483514	PRPF6	Other
Q16082	0.0007794963219492	HSPB2	Other
P24863	0.0007776074191113	CCNC	Other
P31948	0.0007766830952462	STIP1	Other
Q7Z3Y8	0.0007698935084166	KRT27	Other
Q16666	0.0007662922516777	IFI16	Immune/Virus
Q99613	0.0007572793270353	EIF3C	Other
Q8TDX7	0.000755681259246	NEK7	Other
Q15393	0.0007499997967328	SF3B3	Other
Q9HBL7	0.0007482991562246	PLGRKT	Other
P63151	0.0007477888428265	PPP2R2A	Other
Q04864	0.0007455683521436	REL	Immune/Virus
P52815	0.0007448729337453	MRPL12	Other
P06241	0.0007445991184946	FYN	Immune/Virus
O95817	0.0007390460354668	BAG3	Other
Q9NRR5	0.0007373046253117	UBQLN4	Other
P53621	0.0007362770411267	COPA	Other
P33993	0.0007358251064157	MCM7	Other
P55854	0.0007350784563414	SUMO3	Other
P54707	0.0007344956311872	ATP12A	Other
Q93084	0.0007257129685922	ATP2A3	Other
Q15262	0.0007250329477774	PTPRK	Other
P24928	0.0007244395046887	POLR2A	Other
P02794	0.0007230039286851	FTH1	Immune/Virus
Q8IY81	0.000722997419181	FTSJ3	Other
Q7Z434	0.0007224798440056	MAVS	Immune/Virus
O14672	0.0007213133426248	ADAM10	Immune/Virus
Q96GQ7	0.0007204560777697	DDX27	Other
O00159	0.0007201705114688	MYO1C	Other
P02647	0.0007196268665689	APOA1	Immune/Virus
P06703	0.0007178545997237	S100A6	Other
P48431	0.0007150706156385	SOX2	Other
P19012	0.0007150283302751	KRT15	Other
Q03135	0.0007083416664738	CAV1	Immune/Virus
Q9Y6H1	0.0007021829613851	CHCHD2	Other
P27708	0.0006999665562773	CAD	Other
P67936	0.0006962582583813	TPM4	Other
O75190	0.000695979679766	DNAJB6	Other
Q9Y3B7	0.0006945978640671	MRPL11	Other
Q15006	0.0006859212581795	EMC2	Other
Q8TAP4	0.0006708184702856	LMO3	Other
Q9BYJ9	0.0006679821393641	YTHDF1	Other
P09661	0.000667698747768	SNRPA1	Other
Q7Z6Z7	0.0006657983678977	HUWE1	Immune/Virus
O95478	0.0006650367270296	NSA2	Other
Q9UJV8	0.0006620783484889	PURG	Other
P20700	0.0006617569046794	LMNB1	Other
Q14192	0.0006595910622266	FHL2	Other
Q96A72	0.0006585857600067	MAGOHB	Other
Q5SSJ5	0.0006570296078542	HP1BP3	Other
Q13131	0.0006543592169416	PRKAA1	Other
O43242	0.0006471623135622	PSMD3	Immune/Virus
Q99615	0.000645995455838	DNAJC7	Other
Q00613	0.0006454575504736	HSF1	Other
O95071	0.0006435616020271	UBR5	Other
P30260	0.0006381090813919	CDC27	Other
Q9Y2V7	0.0006374463229154	COG6	Other
P30154	0.0006348155192632	PPP2R1B	Other
Q15428	0.0006319815516423	SF3A2	Other
P08727	0.0006318289725462	KRT19	Other
Q92526	0.0006318149870076	CCT6B	Other
P35579	0.0006275810011928	MYH9	Immune/Virus
Q92499	0.000625189893352	DDX1	Other
Q9H0E2	0.0006181018185558	TOLLIP	Immune/Virus
Q13503	0.0006175967019682	MED21	Other
P62875	0.0006158622472989	POLR2L	Immune/Virus
P83105	0.000605607049777	HTRA4	Other
Q04724	0.0006036508598115	TLE1	Other
Q15287	0.0006009100582689	RNPS1	Other
P41218	0.0006003277975232	MNDA	Immune/Virus
P43243	0.000596135764778	MATR3	Other
P41091	0.0005931896724054	EIF2S3	Other
P55060	0.0005893126080629	CSE1L	Other
P62857	0.0005791496447871	RPS28	Other
Q02539	0.000576440346387	H1-1	Other
P16402	0.0005755684578595	H1-3	Other
Q96A08	0.0005575293584103	H2BC1	Other
O76021	0.0005546893116437	RSL1D1	Other
Q15029	0.0005513279744965	EFTUD2	Other
Q13573	0.0005511020557619	SNW1	Other
O00505	0.0005386133464417	KPNA3	Other
P04844	0.0005381532693277	RPN2	Other
Q12874	0.0005333242279193	SF3A3	Other
P07947	0.0005278020310078	YES1	Immune/Virus
Q9UMS4	0.0005272678778161	PRPF19	Other
P63173	0.0005245647483086	RPL38	Other
Q4V328	0.000517492479134	GRIPAP1	Other
P54646	0.0005139094516017	PRKAA2	Other
P53350	0.0005084797696281	PLK1	Other
P04899	0.0005015598549384	GNAI2	Other
P53618	0.000500304960719	COPB1	Immune/Virus
P61421	0.0004985555420903	ATP6V0D1	Other
P28331	0.000498247777929	NDUFS1	Other
P22607	0.0004970154994367	FGFR3	Other
O00410	0.0004965284349711	IPO5	Other
P56524	0.0004768863905739	HDAC4	Other
Q14164	0.0004734979198289	IKBKE	Immune/Virus
P52272	0.0004701531780004	HNRNPM	Other
P42677	0.0004591202621744	RPS27	Other
O75390	0.0004569265365016	CS	Other
Q63ZY3	0.000454189095646	KANK2	Other
P48047	0.0004458892719899	ATP5PO	Other
P25054	0.0004430896249979	APC	Other
P11362	0.0004311857107398	FGFR1	Other
O15350	0.0004272402080916	TP73	Other
O43809	0.0004196206863958	NUDT21	Other
P28066	0.0004129110705622	PSMA5	Immune/Virus
Q13526	0.0004124418447982	PIN1	Immune/Virus
P05783	0.0004102029710042	KRT18	Other
Q15836	0.0004093892866107	VAMP3	Immune/Virus
Q00325	0.0004028008813989	SLC25A3	Other
Q86VP6	0.0003912387563055	CAND1	Immune/Virus
P51665	0.0003785175482474	PSMD7	Immune/Virus
P02545	0.0003783436146332	LMNA	Other
P37198	0.0003686944935693	NUP62	Other
Q15149	0.0003574011207901	PLEC	Other
Q9UHX1	0.000355497977406	PUF60	Other
P83731	0.0003513463987682	RPL24	Other
Q15311	0.0003498142809132	RALBP1	Other
O15371	0.000339910869806	EIF3D	Other
P51965	0.0003326800763949	UBE2E1	Other
P31040	0.0003318138164255	SDHA	Other
P02768	0.0003267887110981	ALB	Other
Q9C0B0	0.0003225438607996	UNK	Other
P07195	0.0003187961316323	LDHB	Other
Q13363	0.0003117994255699	CTBP1	Other
P53675	0.0003105038431434	CLTCL1	Other
Q15323	0.0003055210657507	KRT31	Other
P15924	0.0003054987931126	DSP	Immune/Virus
O43765	0.00028898414724	SGTA	Other
P78352	0.0002798365628513	DLG4	Other
Q13620	0.0002555189432428	CUL4B	Other
Q07955	0.0002504869676014	SRSF1	Other
Q16543	0.000240798545479	CDC37	Immune/Virus
P26447	0.0002313837894025	S100A4	Other
Q05513	0.0002076187355707	PRKCZ	Immune/Virus
O00231	0.0002049909365662	PSMD11	Immune/Virus
O00267	0.0001939091930806	SUPT5H	Other
O00232	0.0001875139368901	PSMD12	Immune/Virus
P45983	0.0001590032925789	MAPK8	Other
