feature	shap_importance	GeneSymbol	ReactomeCategory
O60563	0.0018437277426212	CCNT1	Disease
Q9NW13	0.0018264762065033	RBM28	Metabolism of RNA
P46108	0.001819400288306	CRK	Disease
Q15397	0.0017897565177376	PUM3	Other
Q06609	0.0017868960425959	RAD51	Disease
Q53G59	0.0017724675197199	KLHL12	Signal Transduction
Q8TDD1	0.0017695471355215	DDX54	Other
P84103	0.0017681678112284	SRSF3	Metabolism of RNA
Q7Z7A1	0.0017478979157853	CNTRL	Disease
P29401	0.0017473594975696	TKT	Cellular responses to stimuli
Q6P158	0.0017427768127089	DHX57	Other
O60231	0.001738039148154	DHX16	Metabolism of RNA
P49327	0.001737937262525	FASN	Programmed Cell Death
Q15628	0.0017327530611592	TRADD	Disease
Q6ZW49	0.0017320767652856	PAXIP1	Developmental Biology
P05198	0.0017299773287659	EIF2S1	Cellular responses to stimuli
Q9NZB2	0.0017289388830231	FAM120A	Other
P47929	0.0017207778283269	LGALS7B	Other
Q9ULK4	0.0017186067770317	MED23	Gene expression (Transcription)
Q8N6Y0	0.0017182734091557	USHBP1	Other
Q96NL6	0.0017033508574208	SCLT1	Organelle biogenesis and maintenance
O15014	0.0017015865760631	ZNF609	Other
Q7KZF4	0.0016990157914683	SND1	Disease
Q8N5R6	0.0016857921009197	CCDC33	Other
Q14938	0.0016539009494191	NFIX	Gene expression (Transcription)
Q13555	0.0016377427587502	CAMK2G	Disease
Q9NZ43	0.0016376772375211	USE1	Other
P15531	0.0016275599862495	NME1	Other
Q96AQ6	0.0016272942029356	PBXIP1	Other
O75496	0.0016141393476634	GMNN	Cell Cycle
P25398	0.0016079954867811	RPS12	Metabolism of RNA
Q92820	0.0016036382280012	GGH	Immune System
O15514	0.0015946751439108	POLR2D	Metabolism of RNA
P68104	0.0015878640154352	EEF1A1	Cellular responses to stimuli
O43852	0.0015712945392188	CALU	Metabolism of proteins
Q13188	0.0015545225854799	STK3	Other
P30825	0.00155403792791	SLC7A1	Transport of small molecules
Q15907	0.0015302024736331	RAB11B	Other
P21912	0.0015195521569596	SDHB	Other
Q9NYL9	0.0015161269428987	TMOD3	Signal Transduction
Q9Y3E0	0.0014936095110654	GOLT1B	Other
Q9UI12	0.00148102111185	ATP6V1H	Disease
P08758	0.0014807773841039	ANXA5	Hemostasis
Q13595	0.0014768525782727	TRA2A	Other
Q15750	0.0014748909085169	TAB1	Disease
O76024	0.0014587002742763	WFS1	Cellular responses to stimuli
O14744	0.0014509430984902	PRMT5	Metabolism of RNA
P01889	0.0014476006568645	HLA-B	Disease
Q6Y7W6	0.0014453508488169	GIGYF2	Other
Q15303	0.0014368944395597	ERBB4	Disease
P83111	0.0014350491786121	LACTB	Other
Q14498	0.0014337243681142	RBM39	Other
P38159	0.0014322809798214	RBMX	Metabolism of RNA
Q9H9B4	0.0014305408438726	SFXN1	Other
P31947	0.0014268820407901	SFN	Other
O75461	0.0014229506836754	E2F6	Gene expression (Transcription)
P08173	0.0014151096486921	CHRM4	Signal Transduction
P25445	0.0014143176799784	FAS	Other
Q9Y3D6	0.0014132099458604	FIS1	Protein localization
P10242	0.0013937516003267	MYB	Gene expression (Transcription)
Q8N257	0.0013826361665667	H2BC26	Disease
O75340	0.0013810904360722	PDCD6	Other
P62487	0.0013787465268276	POLR2G	Metabolism of RNA
Q9BVG8	0.0013679207568386	KIFC3	Metabolism of proteins
Q9NQC7	0.0013666459817085	CYLD	Signal Transduction
O95271	0.0013665373259844	TNKS	Disease
Q9UQ80	0.0013541155268247	PA2G4	Immune System
Q04637	0.001353275319705	EIF4G1	Metabolism of RNA
P49756	0.0013508507403514	RBM25	Other
Q29RF7	0.0013499733022066	PDS5A	Cell Cycle
Q9Y3C5	0.0013440721046299	RNF11	Other
O95684	0.0013439393141524	CEP43	Disease
Q9NQB0	0.001342948763092	TCF7L2	Disease
Q01995	0.0013322258267186	TAGLN	Other
O60437	0.0013293557545069	PPL	Developmental Biology
Q14566	0.0013261357329294	MCM6	Cell Cycle
Q9H307	0.0013253627611324	PNN	Other
P51572	0.0013248890387679	BCAP31	Programmed Cell Death
P02751	0.0013207405339816	FN1	Disease
Q8N488	0.0013206170385816	RYBP	Gene expression (Transcription)
O75934	0.0013161797914627	BCAS2	Metabolism of RNA
P49840	0.0013070660788109	GSK3A	Disease
Q13277	0.0013031312187988	STX3	Immune System
Q08379	0.0013002691695463	GOLGA2	Disease
O75439	0.001298394037261	PMPCB	Protein localization
P25800	0.0012978274090325	LMO1	Gene expression (Transcription)
Q01844	0.0012943364649953	EWSR1	Other
O95983	0.0012907124610339	MBD3	Other
Q15427	0.0012855651963453	SF3B4	Metabolism of RNA
O15078	0.0012803142855903	CEP290	Cell Cycle
O75688	0.001268593286822	PPM1B	Disease
P10276	0.0012622405876415	RARA	Gene expression (Transcription)
Q9Y3B4	0.001260073527133	SF3B6	Metabolism of RNA
P61244	0.0012485211634229	MAX	Gene expression (Transcription)
Q15077	0.0012467492730942	P2RY6	Signal Transduction
P21281	0.0012421935192409	ATP6V1B2	Cellular responses to stimuli
P52298	0.0012248305611496	NCBP2	Metabolism of RNA
Q9Y3D9	0.0012204260063982	MRPS23	Metabolism of proteins
P22392	0.0012180857660321	NME2	Immune System
Q08AM6	0.001205063507431	VAC14	Metabolism
P04637	0.0012017604928175	TP53	Disease
P19838	0.0011931613780492	NFKB1	Disease
O00165	0.0011901171034482	HAX1	Other
Q93009	0.0011841197042544	USP7	Gene expression (Transcription)
Q9Y2M5	0.0011838582778679	KLHL20	Metabolism of proteins
P36507	0.0011717784492079	MAP2K2	Disease
Q13418	0.0011701895706775	ILK	Cell-Cell communication
Q9NR28	0.0011664544513663	DIABLO	Programmed Cell Death
Q9H3D4	0.0011657190438379	TP63	Programmed Cell Death
Q5T7N2	0.0011604443855664	L1TD1	Other
Q92633	0.0011574943845513	LPAR1	Signal Transduction
P21860	0.001153690478707	ERBB3	Disease
Q13347	0.0011481006979758	EIF3I	Metabolism of proteins
Q9Y2I6	0.0011455021947124	NINL	Cell Cycle
O15372	0.0011322975434583	EIF3H	Metabolism of proteins
