accuracy,precision,recall,f1,auroc,auprc
0.7357512953367875,0.75,0.7572815533980582,0.753623188405797,0.8025350593311757,0.8271503816180596
0.7668393782383419,0.7959183673469388,0.7572815533980582,0.7761194029850746,0.8475188781014025,0.8857130589639054
0.6373056994818653,0.6571428571428571,0.6699029126213593,0.6634615384615384,0.7496763754045307,0.7975275613897265
0.7098445595854922,0.7117117117117117,0.7669902912621359,0.7383177570093458,0.8045846817691478,0.8414065469789367
0.7512953367875648,0.7570093457943925,0.7864077669902912,0.7714285714285715,0.8461704422869472,0.8696453145777261
0.6994818652849741,0.7102803738317757,0.7378640776699029,0.7238095238095237,0.7772923408845739,0.8028227732575697
0.772020725388601,0.7864077669902912,0.7864077669902912,0.7864077669902912,0.8560409924487595,0.881690490347069
0.6787564766839378,0.6915887850467289,0.7184466019417476,0.7047619047619048,0.7969795037756203,0.8387091368577049
0.7512953367875648,0.7350427350427351,0.8349514563106796,0.7818181818181817,0.8102481121898598,0.8295731928464283
0.7202072538860104,0.7333333333333333,0.7475728155339806,0.7403846153846153,0.8174757281553399,0.837420513831731
0.689119170984456,0.7128712871287128,0.6990291262135923,0.7058823529411765,0.7921790722761597,0.8369049167830747
0.7150259067357513,0.7105263157894737,0.7864077669902912,0.7465437788018434,0.7908845738942827,0.8326243804203962
0.7772020725388601,0.7586206896551724,0.8543689320388349,0.8036529680365296,0.8579288025889967,0.882147547564452
0.7461139896373057,0.7596153846153846,0.7669902912621359,0.7632850241545893,0.827615965480043,0.8536491585227264
0.7461139896373057,0.7368421052631579,0.8155339805825242,0.7741935483870966,0.8248112189859762,0.85610159480235
0.7202072538860104,0.7247706422018348,0.7669902912621359,0.7452830188679245,0.8031283710895362,0.8438202447265637
0.7512953367875648,0.7433628318584071,0.8155339805825242,0.7777777777777778,0.8106256742179073,0.8299905139829816
0.7202072538860104,0.7130434782608696,0.7961165048543689,0.7522935779816513,0.8278856526429343,0.8671667480441483
0.694300518134715,0.7291666666666666,0.6796116504854369,0.7035175879396984,0.7652103559870551,0.7890906509849749
0.689119170984456,0.6869565217391305,0.7669902912621359,0.7247706422018347,0.7896440129449838,0.834303566474384
0.6580310880829016,0.6796116504854369,0.6796116504854369,0.6796116504854369,0.7317691477885653,0.7850164038015206
0.7772020725388601,0.7941176470588235,0.7864077669902912,0.7902439024390243,0.8529665587918015,0.8841968092719728
0.7357512953367875,0.7203389830508474,0.8252427184466019,0.7692307692307693,0.8258899676375406,0.8654800963857558
