,accuracy,precision,recall,f1,auroc,auprc
mean,0.725958549222798,0.7461895419858837,0.7388349514563107,0.7417343859971837,0.794351132686084,0.8294252834429083
std,0.029419971559775108,0.03066402124944034,0.04487457658918325,0.030099379208606284,0.0306058604430404,0.029917951110158787
