,accuracy,precision,recall,f1,auroc,auprc
mean,0.7541450777202072,0.762890352161058,0.7836893203883494,0.7724199569153712,0.821118662351672,0.8493477131294587
std,0.027978838467667123,0.026883670239325565,0.04576909344290724,0.028858244829666157,0.0279222254759749,0.026360057410297105
