,accuracy,precision,recall,f1,auroc,auprc
mean,0.7236269430051813,0.7371315769657041,0.7505825242718446,0.7432227824716553,0.7960194174757282,0.8307286209634137
std,0.030976404841405656,0.02994691266654396,0.04263757534444744,0.030320342363080312,0.02985545031385491,0.027553144749857105
