,accuracy,precision,recall,f1,auroc,auprc
mean,0.7498445595854923,0.759934586548574,0.7777669902912621,0.7680701170964305,0.8148651564185543,0.8419693145354605
std,0.028712652443446948,0.02787530673515091,0.044392368836036436,0.02903808910215311,0.028994606962956096,0.02803203475671933
