,accuracy,precision,recall,f1,auroc,auprc
mean,0.7471502590673577,0.7633585491875198,0.763883495145631,0.7627714262637333,0.8090609492988133,0.8208364164335148
std,0.028588852085055003,0.027388932832984242,0.04859034729382848,0.030047899604711787,0.02817869642472302,0.036088605664168494
