,accuracy,precision,recall,f1,auroc,auprc
mean,0.7327461139896375,0.7405537377515702,0.7699029126213592,0.7542920976215868,0.8093058252427185,0.8412257244192825
std,0.030650432101149955,0.030033444807204265,0.043996068273244156,0.029904935915124897,0.030227921150118978,0.02593684939596553
