,accuracy,precision,recall,f1,auroc,auprc
mean,0.7302590673575131,0.7398371106865844,0.7649514563106797,0.7513506013252208,0.7979228694714132,0.8240809494708242
std,0.03348855875853327,0.03437831007652954,0.04744856716528932,0.03242922287953,0.03136530672671721,0.032080732722069356
