accuracy,precision,recall,f1,auroc,auprc
0.7409326424870466,0.7731958762886598,0.7281553398058253,0.75,0.8021574973031282,0.8392051841521128
0.7409326424870466,0.7623762376237624,0.7475728155339806,0.7549019607843138,0.8269147788565264,0.8755057461317017
0.6632124352331606,0.6862745098039216,0.6796116504854369,0.6829268292682927,0.7403991370010787,0.7671004701274139
0.7253886010362695,0.7358490566037735,0.7572815533980582,0.7464114832535885,0.8094390507011866,0.8354198107662794
0.7409326424870466,0.7387387387387387,0.7961165048543689,0.7663551401869159,0.8366774541531823,0.8684921647850823
0.6994818652849741,0.7368421052631579,0.6796116504854369,0.7070707070707071,0.7548543689320388,0.7726651316606383
0.7616580310880829,0.7766990291262136,0.7766990291262136,0.7766990291262136,0.8437432578209277,0.8693461344408715
0.7098445595854922,0.7155963302752294,0.7572815533980582,0.7358490566037735,0.783764832793959,0.8421002178996475
0.6839378238341969,0.7019230769230769,0.7087378640776699,0.7053140096618358,0.7624595469255664,0.7835692582291134
0.7357512953367875,0.7280701754385965,0.8058252427184466,0.7649769585253456,0.8119201725997842,0.841300687735911
0.7202072538860104,0.7247706422018348,0.7669902912621359,0.7452830188679245,0.8151024811218985,0.8656242895323636
0.689119170984456,0.6936936936936937,0.7475728155339806,0.719626168224299,0.762621359223301,0.8022033029074751
0.7616580310880829,0.7478260869565218,0.8349514563106796,0.7889908256880733,0.841747572815534,0.8401285122163766
0.7046632124352331,0.7346938775510204,0.6990291262135923,0.7164179104477613,0.7770226537216828,0.8034117043476277
0.7616580310880829,0.7435897435897436,0.8446601941747572,0.7909090909090909,0.8302049622437971,0.8536390878923288
0.7150259067357513,0.7222222222222222,0.7572815533980582,0.7393364928909952,0.7844660194174757,0.8200604449609986
0.7616580310880829,0.7614678899082569,0.8058252427184466,0.7830188679245284,0.8367853290183387,0.8579883392533092
0.7305699481865285,0.7256637168141593,0.7961165048543689,0.7592592592592593,0.8055016181229775,0.8390737092278799
0.7150259067357513,0.7307692307692307,0.7378640776699029,0.7342995169082126,0.7990291262135922,0.8268593631225892
0.7512953367875648,0.7522935779816514,0.7961165048543689,0.7735849056603774,0.8233009708737864,0.8432374263018657
0.689119170984456,0.680672268907563,0.7864077669902912,0.7297297297297298,0.750269687162891,0.7951216653097832
0.7461139896373057,0.7410714285714286,0.8058252427184466,0.772093023255814,0.8096008629989213,0.8437819174620528
0.7409326424870466,0.7264957264957265,0.8252427184466019,0.7727272727272726,0.8188781014023733,0.8589103644056313
0.7512953367875648,0.7722772277227723,0.7572815533980582,0.7647058823529412,0.7916936353829558,0.810324963659897
0.6994818652849741,0.7027027027027027,0.7572815533980582,0.7289719626168224,0.8014023732470335,0.8399011468588977
0.7772020725388601,0.7586206896551724,0.8543689320388349,0.8036529680365296,0.8519956850053938,0.8719786008919618
0.7461139896373057,0.75,0.7864077669902912,0.7677725118483412,0.7887810140237325,0.794132861294648
0.7202072538860104,0.7247706422018348,0.7669902912621359,0.7452830188679245,0.7955771305285868,0.8259341404408456
0.7823834196891192,0.7798165137614679,0.8252427184466019,0.8018867924528301,0.8451995685005393,0.8796526093653829
0.7098445595854922,0.7043478260869566,0.7864077669902912,0.7431192660550459,0.7779935275080905,0.8137049821156538
0.7253886010362695,0.75,0.7281553398058253,0.7389162561576353,0.8181229773462784,0.8571121584272205
0.6683937823834197,0.672566371681416,0.7378640776699029,0.7037037037037037,0.7807982740021575,0.8124699552716024
0.7046632124352331,0.7446808510638298,0.6796116504854369,0.7106598984771573,0.7694714131607336,0.812799954323095
0.7150259067357513,0.74,0.7184466019417476,0.729064039408867,0.7722761596548005,0.7882397135162251
0.7616580310880829,0.7435897435897436,0.8446601941747572,0.7909090909090909,0.843257820927724,0.8729234986750749
0.7564766839378239,0.8043478260869565,0.7184466019417476,0.7589743589743588,0.8439050701186624,0.8665335806731365
0.7046632124352331,0.7129629629629629,0.7475728155339806,0.7298578199052131,0.7812297734627832,0.8261491187673414
0.7098445595854922,0.7043478260869566,0.7864077669902912,0.7431192660550459,0.7763754045307444,0.7849908043287859
0.7150259067357513,0.7352941176470589,0.7281553398058253,0.7317073170731707,0.7817691477885653,0.8170788445748152
0.689119170984456,0.7128712871287128,0.6990291262135923,0.7058823529411765,0.7865156418554478,0.8142371733841308
0.7202072538860104,0.7525773195876289,0.7087378640776699,0.73,0.7818770226537216,0.8303007589086212
0.7202072538860104,0.7247706422018348,0.7669902912621359,0.7452830188679245,0.7833872707659115,0.817030425362044
0.689119170984456,0.7216494845360825,0.6796116504854369,0.7,0.7462783171521035,0.7954694043692587
0.7253886010362695,0.7551020408163265,0.7184466019417476,0.736318407960199,0.782200647249191,0.8119268319541437
0.7357512953367875,0.7549019607843137,0.7475728155339806,0.751219512195122,0.8217907227615966,0.8472037285868099
0.7305699481865285,0.7524752475247525,0.7378640776699029,0.7450980392156863,0.7833333333333333,0.8189965422151753
0.7150259067357513,0.7264150943396226,0.7475728155339806,0.7368421052631577,0.8036677454153183,0.8376419520839706
0.7512953367875648,0.7433628318584071,0.8155339805825242,0.7777777777777778,0.795361380798274,0.8195133957936811
0.7564766839378239,0.7745098039215687,0.7669902912621359,0.7707317073170732,0.8193096008629989,0.8560641831560352
0.7253886010362695,0.7403846153846154,0.7475728155339806,0.7439613526570048,0.7844660194174757,0.7991729591486256
0.6994818652849741,0.7319587628865979,0.6893203883495146,0.7100000000000001,0.750755124056095,0.7853956281163961
0.6787564766839378,0.7070707070707071,0.6796116504854369,0.6930693069306931,0.7558252427184465,0.809111785359934
0.7564766839378239,0.8043478260869565,0.7184466019417476,0.7589743589743588,0.806688241639698,0.8464502397463051
0.7461139896373057,0.7647058823529411,0.7572815533980582,0.7609756097560975,0.8096548004314994,0.8484371063362649
0.7564766839378239,0.78,0.7572815533980582,0.768472906403941,0.8240560949298813,0.8562429820265488
0.6994818652849741,0.7272727272727273,0.6990291262135923,0.712871287128713,0.7803667745415319,0.7888788526025656
0.7253886010362695,0.7358490566037735,0.7572815533980582,0.7464114832535885,0.8297734627831715,0.868370485245483
0.772020725388601,0.7610619469026548,0.8349514563106796,0.7962962962962963,0.8254584681769148,0.8494686772990241
0.694300518134715,0.6833333333333333,0.7961165048543689,0.73542600896861,0.8046386192017261,0.8493336572004893
0.689119170984456,0.7471264367816092,0.6310679611650486,0.6842105263157895,0.752049622437972,0.7876972602429644
0.7564766839378239,0.7745098039215687,0.7669902912621359,0.7707317073170732,0.8314455231930961,0.871227262218598
0.6632124352331606,0.7065217391304348,0.6310679611650486,0.6666666666666667,0.7426105717367852,0.774004989569066
0.6994818652849741,0.7064220183486238,0.7475728155339806,0.7264150943396226,0.7802588996763755,0.8146884107160761
0.6735751295336787,0.6818181818181818,0.7281553398058253,0.704225352112676,0.759816612729234,0.7964165831012133
0.7046632124352331,0.7211538461538461,0.7281553398058253,0.7246376811594203,0.811326860841424,0.8303098125101429
0.7357512953367875,0.7321428571428571,0.7961165048543689,0.7627906976744185,0.8224379719525351,0.850310733052098
0.7512953367875648,0.7477477477477478,0.8058252427184466,0.7757009345794393,0.807713052858684,0.8178290398154578
0.7305699481865285,0.7428571428571429,0.7572815533980582,0.7499999999999999,0.8091693635382956,0.8504043987955402
0.7927461139896373,0.8247422680412371,0.7766990291262136,0.7999999999999999,0.8445523193096008,0.8814232461051584
0.7668393782383419,0.75,0.8446601941747572,0.7945205479452053,0.8235167206040992,0.8437975515310041
0.7357512953367875,0.75,0.7572815533980582,0.753623188405797,0.8023732470334412,0.8239715572206412
0.7098445595854922,0.7582417582417582,0.6699029126213593,0.7113402061855669,0.7795037756202805,0.8045707021741202
0.7150259067357513,0.7105263157894737,0.7864077669902912,0.7465437788018434,0.8012944983818769,0.8290303829683426
0.7512953367875648,0.7619047619047619,0.7766990291262136,0.7692307692307692,0.8148867313915857,0.8393082928316078
0.7046632124352331,0.7053571428571429,0.7669902912621359,0.7348837209302326,0.7722761596548003,0.8112740976826696
0.7668393782383419,0.7636363636363637,0.8155339805825242,0.7887323943661971,0.8572815533980583,0.8776455809048087
0.7253886010362695,0.7450980392156863,0.7378640776699029,0.7414634146341463,0.7676375404530744,0.7850407114275006
0.7668393782383419,0.7735849056603774,0.7961165048543689,0.7846889952153109,0.8426645091693635,0.8598282838855393
0.7409326424870466,0.7623762376237624,0.7475728155339806,0.7549019607843138,0.774973031283711,0.7931177114740372
0.689119170984456,0.6972477064220184,0.7378640776699029,0.7169811320754718,0.7693635382955771,0.7870907919662944
0.7616580310880829,0.7821782178217822,0.7669902912621359,0.7745098039215688,0.821898597626753,0.8361958671065879
0.7202072538860104,0.7207207207207207,0.7766990291262136,0.7476635514018692,0.8133764832793959,0.8498280947634954
0.7564766839378239,0.7745098039215687,0.7669902912621359,0.7707317073170732,0.8195253505933118,0.8362784702814143
0.7357512953367875,0.76,0.7378640776699029,0.7487684729064039,0.8086839266450916,0.8347252739555951
0.6994818652849741,0.7027027027027027,0.7572815533980582,0.7289719626168224,0.8134843581445523,0.8676627881425338
0.7305699481865285,0.7428571428571429,0.7572815533980582,0.7499999999999999,0.7905070118662351,0.8209876765342669
0.7098445595854922,0.7043478260869566,0.7864077669902912,0.7431192660550459,0.765695792880259,0.8212587647585461
0.7564766839378239,0.75,0.8155339805825242,0.7813953488372092,0.8111650485436893,0.8173673063400526
