prob_gastrointestinal,prob_neural,prob_other,prob_respiratory,prob_systemic,prob_viraemic,taxid,true,pred
0.4611783849375296,0.021556483365804527,0.0034658757649321205,0.4825605298768078,0.0042579528455535505,0.02698077320937228,3049954,3,3
0.02599531385373706,0.09477368838863266,0.04639134881062495,0.2080833017824264,0.06133772796181313,0.5634186192027663,1987019,5,5
0.6205062634180375,0.06814878617333768,0.022602315555021086,0.18420124510941593,0.023722698328692466,0.0808186914154955,2003651,0,0
0.029704628269817294,0.09525439996842915,0.03939758586719789,0.12837998745672946,0.08849013025259299,0.618773268185233,3052397,5,5
0.015675526819143706,0.5533028415397206,0.06970819768756548,0.04081267989794229,0.10860739470953219,0.21189335934609557,90961,1,1
0.01309839565927935,0.11035834711572794,0.16645870181247832,0.03489798955608693,0.1418512580097302,0.5333353078466971,3052498,2,5
0.012188195664075726,0.21748342633040485,0.1224898087428169,0.0365804615790382,0.09647636542303713,0.5147817422606273,3052464,4,5
0.04618096535471032,0.36001903841039473,0.05131538967971845,0.029250771609229717,0.07913932380686926,0.4340945111390772,1972575,5,5
0.09105080045037202,0.11763935356902086,0.44086352050797745,0.08766025053441967,0.09311811704840468,0.16966795788980546,1678143,2,2
0.0031535704209586534,0.3051888899867578,0.08597454316744797,0.013489213033680765,0.4273287322006338,0.16486505119052092,3052314,4,4
0.01607954951184618,0.5337434649742979,0.07078272980896318,0.037059097352588666,0.12453700752188136,0.217798150830422,12538,1,1
0.03431480689318951,0.07892578109537617,0.14480685509012645,0.06895972640822008,0.19405722170351725,0.4789356088095704,1980456,4,5
0.01775608104195589,0.12785580320268067,0.5462324169931922,0.02259055741838114,0.14529225078656655,0.140272890557224,338079,2,2
0.06659008257325111,0.31772473472892293,0.17557468252112396,0.05991713412925363,0.13598075833593493,0.24421260771151346,11642,2,1
0.009753959673022432,0.1854887987010327,0.10456599680516704,0.021862821761753217,0.09618434728047016,0.5821440757785546,3047375,5,5
0.250628643795428,0.07089292159060205,0.1715021541406483,0.27599204838870117,0.03830412072180402,0.19268011136281654,3052456,5,0
0.5469926670387801,0.08405827557603147,0.07015842729030917,0.15325240265224202,0.04651435793328619,0.09902386950935108,1330524,0,0
0.0095662019953856,0.10372399797941066,0.17896892830645614,0.012795512850915867,0.09751175452678269,0.5974336043410489,3052465,1,5
0.04897404886027339,0.20130156839816354,0.04830867835114067,0.0730684174162548,0.059825184175477025,0.5685221027986902,11039,1,5
0.017878263604880512,0.04393300129093565,0.1472987683492536,0.019532232274236883,0.20907653837890128,0.5622811961017921,3052474,4,5
0.04007448416101852,0.2419845239737798,0.06641332664924487,0.055286774560630865,0.032348143486582735,0.5638927471687437,59300,5,5
0.006996400796546767,0.14579205163213008,0.16938538180686014,0.01522053051425187,0.09495765997630638,0.5676479752739046,3047837,5,5
0.020470943764513826,0.21506919674465572,0.050973856199113196,0.2319423608122513,0.06728129766797121,0.41426234481149504,2955935,3,5
0.0028886217610741933,0.1401275865961743,0.07421849633249122,0.012929781756781325,0.20718961571710892,0.5626458978363702,1933191,5,5
0.04365062517844348,0.2008459532687223,0.0320094383240825,0.06705148629658568,0.05478847532574598,0.60165402160642,60877,5,5
0.4227482001825252,0.11200489035160228,0.15924800984571433,0.11754844071953922,0.059303128600571846,0.12914733030004696,1239573,0,0
0.6550547636131504,0.018712570174731463,0.010668733107025456,0.24199090226871534,0.018725864659023372,0.05484716617735402,1821750,0,0
0.015397932178494084,0.4017608248838847,0.08953422436698942,0.031301894461996445,0.11997306168478533,0.3420320624238498,2951618,1,1
0.03651649307566325,0.14774418578393225,0.08413234397331477,0.03941751758128951,0.1117516234358167,0.5804378361499836,3047395,5,5
0.15644685121939025,0.05388927732613219,0.05614105360945493,0.678428955717363,0.026678603302868305,0.028415258824791064,277944,3,3
