Top_K,knn_val,rf_val,svm_val,xgb_val
50,0.7810247872095698,0.815323249750786,0.8127872862510543,0.8216984510390308
100,0.7814294149221683,0.8308131278276208,0.8218049229353578,0.8367606970324363
150,0.7924525343148532,0.8316948661912431,0.8259535886818496,0.8271923357104518
200,0.8255693581780538,0.8558578138179586,0.8706978184188331,0.8380780423280422
250,0.8201481481481481,0.852839180277586,0.8698471167855227,0.8339730273752014
300,0.829237194233571,0.8507911778237864,0.865459167241776,0.8374557549267695
350,0.8216801625642206,0.8458812207652787,0.8567865002683842,0.829397956445058
400,0.8185951422436929,0.8423816041714592,0.8646338854382334,0.8254357986350739
450,0.8079510965416765,0.8407311172456099,0.8611318917260946,0.8234678322214554
500,0.8072362548884289,0.838978049996166,0.8571417644352428,0.8166976842266699
550,0.8009887086879841,0.8328172686143701,0.8583007246376811,0.8200575876083123
600,0.7991924315619968,0.829447319990798,0.856120063645426,0.8147712023617819
650,0.7998112683076453,0.8304911241469213,0.8543467142090329,0.8117786596119929
700,0.801470669427191,0.8280225826240318,0.8515104669887278,0.8093479027681926
750,0.8037459934054136,0.8274504447511695,0.8479613909976227,0.8001210605014952
800,0.7994916609155739,0.8286105743424587,0.8453220995322446,0.8076815428264704
850,0.7957741545893721,0.8266750632620199,0.8448586381412467,0.808071064335557
900,0.7964173567977916,0.8260894678322215,0.846293114024998,0.8082327275515684
950,0.7956644045702018,0.82980664826317,0.8446715742657771,0.807627808450272
1000,0.7968749329039183,0.8262464726631393,0.8426524039567518,0.8094180852695344
1050,0.7921421861820412,0.8273674373130896,0.8411418219461698,0.8067581090407177
1100,0.7995781381795873,0.8245962924622344,0.8390756460394142,0.8080219116632159
1150,0.7990071696955758,0.8270562073460624,0.8372018250134192,0.8056134690591211
1200,0.7967858676481865,0.8247039529177209,0.8352043171535927,0.8042885323211411
1250,0.7925520090483859,0.821890518365156,0.8315948163484396,0.8003747795414463
1300,0.7944904340157964,0.8205185376888277,0.8303020857296219,0.798277049306035
1350,0.7914776282493673,0.821363373207576,0.8281839966260258,0.7978049996165939
1400,0.7919057012499043,0.8205101410934743,0.8254202515144544,0.7930669043784984
1450,0.7890711793574111,0.8165765278736292,0.8238897707231039,0.7910012460700867
1500,0.7862186565447434,0.8143331799708612,0.8230469289164941,0.7890586228049996
1550,0.7832818227129821,0.8172496165938196,0.8219746568514685,0.7879031132581857
1600,0.784374568668047,0.8136670692431562,0.820410206272525,0.7864755770263017
1650,0.7812829537612147,0.8149518058431101,0.8203801855685916,0.7854648799938654
1700,0.7811194885361552,0.810493271221532,0.8197451882524347,0.7836877348362854
1750,0.7774808680315926,0.8106061843416916,0.8192919638064565,0.7869872709148072
1800,0.7775958898857449,0.8123891956138333,0.8167156276359175,0.7882951844183727
1850,0.7754477800782149,0.8082497891266007,0.8161167471819646,0.786992408557626
1900,0.7731505444367763,0.8085286596119932,0.8150365002683841,0.785873878536922
1950,0.7692928648109809,0.807811862587225,0.8129377348362857,0.7842952802699179
2000,0.7662377310022237,0.8082128096004909,0.8103820642588759,0.785114044168392
