taxid	ppi_count_before
3048183	3906.0
3048184	787.0
3048198	585.0
3048205	525.0
3048215	1175.0
3048225	981.0
3048233	800.0
3048279	833.0
3048287	871.0
3048300	659.0
3048305	857.0
3048308	681.0
3048314	703.0
3048316	811.0
3048360	1016.0
3048380	1170.0
3048381	1448.0
3048382	1619.0
3048383	1599.0
3048384	1316.0
3048385	1176.0
3048386	2124.0
3048387	1131.0
3048388	447.0
3048389	715.0
3048390	2326.0
3048391	1382.0
3048392	1890.0
3048393	1284.0
3048394	1531.0
3048395	706.0
3048396	760.0
3048397	1168.0
3048398	1032.0
3048400	692.0
3048401	570.0
3048402	545.0
3048403	459.0
3048404	624.0
3048405	679.0
3048406	546.0
3048407	582.0
3048413	1740.0
3048414	3109.0
3048415	1626.0
3048417	1143.0
3048420	897.0
3048422	2715.0
3048423	549.0
3048424	2097.0
3048425	1010.0
3048427	860.0
3048428	3461.0
3048430	1274.0
3048431	2974.0
3048432	1441.0
3048433	651.0
3048440	763.0
3048443	1173.0
3048447	862.0
3048448	1173.0
3048459	1186.0
3049952	6137.0
3049953	7341.0
3049954	14733.0
3050248	14580.0
3050258	123798.0
3050292	88927.0
3050293	84962.0
3050294	58490.0
3050295	109299.0
3050296	48024.0
3050297	51793.0
3050298	41673.0
3050299	106657.0
3050300	95275.0
3050305	74959.0
3050336	76183.0
3050339	10562.0
3050355	65305.0
3050361	587.0
3051368	7565.0
3051373	5593.0
3051374	6124.0
3051375	9597.0
3051377	6442.0
3051989	4396.0
3051991	4176.0
3051992	3789.0
3052004	406.0
3052013	715.0
3052014	697.0
3052040	6123.0
3052041	3303.0
3052121	390.0
3052189	7784.0
3052223	12971.0
3052225	12874.0
3052230	3428.0
3052263	8603.0
3052299	4514.0
3052302	4960.0
3052303	5218.0
3052305	4346.0
3052307	4343.0
3052310	5334.0
3052314	5054.0
3052317	5944.0
3052328	4194.0
3052331	3915.0
3052342	24097.0
3052345	12719.0
3052371	3129.0
3052381	5296.0
3052384	6299.0
3052385	2844.0
3052387	5564.0
3052388	2543.0
3052389	4845.0
3052390	5660.0
3052396	4782.0
3052397	5828.0
3052399	2849.0
3052402	1743.0
3052406	3729.0
3052407	3764.0
3052409	3826.0
3052412	2623.0
3052413	4864.0
3052414	2958.0
3052418	4707.0
3052420	3662.0
3052426	5517.0
3052428	6014.0
3052429	6044.0
3052437	6046.0
3052439	2818.0
3052440	6060.0
3052444	4943.0
3052446	2568.0
3052456	4433.0
3052458	12978.0
3052459	8850.0
3052460	8376.0
3052461	11902.0
3052462	11555.0
3052463	1181.0
3052464	1205.0
3052465	784.0
3052466	1047.0
3052468	1166.0
3052470	20600.0
3052474	19338.0
3052477	17765.0
3052480	16767.0
3052489	9939.0
3052493	19616.0
3052498	18488.0
3052499	20465.0
3052503	19261.0
3052505	9747.0
3052514	3903.0
3052518	4371.0
3052522	2718.0
3052523	3641.0
3052536	2366.0
3052537	2593.0
3052555	7796.0
3052556	5505.0
3052557	4768.0
3052558	6869.0
3052560	6230.0
3052599	12016.0
3052600	13119.0
3052606	534.0
3052608	1024.0
3052610	970.0
3052619	1946.0
3052640	8661.0
3052641	4142.0
3052643	3644.0
3052647	3882.0
3052660	3852.0
3052662	4546.0
3052664	3822.0
3052665	4008.0
3052666	4223.0
3052676	8761.0
3052681	4208.0
3052684	5215.0
3052686	2528.0
3052690	3648.0
3052713	3685.0
3052714	2764.0
3052716	3223.0
3052759	2991.0
3052770	2791.0
3052789	12727.0
3052801	3847.0
3052808	1617.0
3052811	3532.0
3060057	3772.0
3060463	2602.0
3060506	2496.0
3060740	5900.0
