taxid	ppi_count_after
3048420	153
3048422	522
3048423	48
3048424	383
3048425	141
3048427	117
3048428	645
3048430	261
3048431	589
3048432	252
3048433	125
3048440	145
3048443	252
3048447	179
3048448	252
3048459	248
3049952	1161
3049953	1366
3049954	1891
3050248	1731
3050258	23025
3050292	18083
3050293	17292
3050294	11384
3050295	20472
3050296	8124
3050297	8336
3050298	6577
3050299	17915
3050300	18497
3050305	15448
3050336	15716
3050339	1715
3050355	13499
3050361	58
3051368	1504
3051373	1050
3051374	1149
3051375	1664
3051377	1297
3051989	845
3051991	780
3051992	680
3052004	24
3052013	36
3052014	57
3052040	968
3052041	470
3052121	17
3052189	1250
3052223	2694
3052225	2587
3052230	656
3052263	1592
3052299	861
3052302	960
3052303	994
3052305	776
3052307	814
3052310	959
3052314	972
3052317	1130
3052328	785
3052331	702
3052342	3243
3052345	1891
3052371	565
3052381	886
3052384	1109
3052385	497
3052387	979
3052388	448
3052389	817
3052390	968
3052396	804
3052397	990
3052399	482
3052402	289
3052406	663
3052407	665
3052409	699
3052412	455
3052413	812
3052414	496
3052418	812
3052420	658
3052426	954
3052428	1081
3052429	1137
3052437	1132
3052439	469
3052440	1150
3052444	851
3052446	473
3052456	773
3052458	2131
3052459	1595
3052460	1428
3052461	1847
3052462	1918
3052463	248
3052464	249
3052465	160
3052466	215
3052468	243
3052470	1733
3052474	1607
3052477	1731
3052480	1306
3052489	869
3052493	1871
3052498	1725
3052499	1835
3052503	1953
3052505	1898
3052514	811
3052518	914
3052522	504
3052523	680
3052536	479
3052537	508
3052555	1629
3052556	1125
3052557	1006
3052558	1399
3052560	1284
3052599	2517
3052600	2792
3052606	46
3052608	186
3052610	159
3052619	385
3052640	1578
3052641	813
3052643	642
3052647	730
3052660	706
3052662	861
3052664	654
3052665	768
3052666	805
3052676	1748
3052681	769
3052684	958
3052686	493
3052690	648
3052713	455
3052714	452
3052716	552
3052759	585
3052770	424
3052789	1602
3052801	676
3052808	321
3052811	625
3060057	761
3060463	484
3060506	507
3060740	1101
