taxid	ppi_count_after
3052496	1720
3052501	1387
3052510	924
3052516	490
3052519	469
3052524	364
3052525	439
3052529	821
3052534	482
3052538	580
3052559	1515
3052561	2797
3052562	1513
3052588	711
3052593	1342
3052594	1242
3052595	1389
3052596	1194
3052598	1357
3052601	1376
3052602	2662
3052604	36
3052605	37
3052607	41
3052609	29
3052611	42
3052612	17
3052613	180
3052614	50
3052616	101
3052618	121
3052620	140
3052622	108
3052625	116
3052626	128
3052627	371
3052631	381
3052633	530
3052637	812
3052679	867
3052707	432
3052717	1052
3052718	399
3052720	391
3052723	270
3052724	306
3052727	347
3052729	1171
3052731	1448
3052733	1108
3052748	285
3052762	1288
3052763	993
3052764	864
3052765	898
3052767	871
3052788	825
3241440	3089
3241441	2994
