	Mollentze's study	Brierley's study	ViralZone	HVD	Virus-Host DB	VIRION
64293	1.0	0.0	0.0	0.0	0.0	0.0
64295	1.0	0.0	0.0	0.0	0.0	0.0
64303	1.0	0.0	0.0	0.0	0.0	0.0
64305	1.0	0.0	0.0	0.0	0.0	0.0
64318	0.0	0.0	0.0	1.0	0.0	0.0
64320	1.0	0.0	0.0	0.0	0.0	0.0
67605	0.0	1.0	0.0	0.0	0.0	0.0
68887	0.0	0.0	0.0	0.0	1.0	0.0
72149	1.0	1.0	0.0	0.0	0.0	0.0
72197	0.0	0.0	0.0	0.0	1.0	0.0
77763	1.0	1.0	0.0	0.0	0.0	0.0
90961	1.0	1.0	0.0	0.0	0.0	0.0
93678	0.0	0.0	0.0	0.0	1.0	0.0
93830	0.0	0.0	0.0	0.0	1.0	0.0
95342	1.0	1.0	0.0	0.0	0.0	0.0
99000	1.0	0.0	0.0	0.0	0.0	0.0
99182	0.0	0.0	0.0	0.0	1.0	0.0
104580	0.0	0.0	0.0	1.0	0.0	0.0
106966	0.0	0.0	0.0	1.0	0.0	0.0
108098	1.0	0.0	0.0	0.0	0.0	0.0
118027	1.0	1.0	0.0	0.0	0.0	0.0
129726	1.0	0.0	0.0	0.0	0.0	0.0
129727	1.0	0.0	0.0	0.0	0.0	0.0
129875	1.0	0.0	0.0	0.0	0.0	0.0
129951	1.0	0.0	0.0	0.0	0.0	0.0
130308	1.0	0.0	0.0	0.0	0.0	0.0
130309	1.0	0.0	0.0	0.0	0.0	0.0
130310	1.0	0.0	0.0	0.0	0.0	0.0
136966	0.0	0.0	0.0	1.0	0.0	0.0
138948	1.0	1.0	0.0	0.0	0.0	0.0
138949	1.0	1.0	0.0	0.0	0.0	0.0
138950	1.0	1.0	0.0	0.0	0.0	0.0
138951	1.0	1.0	0.0	0.0	0.0	0.0
145856	1.0	0.0	0.0	0.0	0.0	0.0
147711	1.0	1.0	0.0	0.0	0.0	0.0
147712	1.0	1.0	0.0	0.0	0.0	0.0
158684	0.0	0.0	0.0	1.0	0.0	0.0
159183	0.0	0.0	0.0	1.0	0.0	0.0
162145	1.0	0.0	0.0	0.0	0.0	0.0
164250	0.0	0.0	0.0	0.0	0.0	1.0
164416	1.0	0.0	0.0	0.0	0.0	0.0
169066	0.0	0.0	0.0	1.0	0.0	0.0
178530	0.0	0.0	0.0	1.0	0.0	0.0
178534	0.0	0.0	0.0	0.0	0.0	1.0
180170	0.0	0.0	0.0	1.0	0.0	0.0
186538	1.0	0.0	0.0	0.0	0.0	0.0
186539	1.0	0.0	0.0	0.0	0.0	0.0
186540	1.0	0.0	0.0	0.0	0.0	0.0
186541	1.0	0.0	0.0	0.0	0.0	0.0
186805	0.0	0.0	0.0	1.0	0.0	0.0
190062	0.0	0.0	0.0	1.0	0.0	0.0
190064	0.0	0.0	0.0	1.0	0.0	0.0
192971	0.0	0.0	0.0	1.0	0.0	0.0
194440	1.0	1.0	0.0	0.0	0.0	0.0
194441	1.0	1.0	0.0	0.0	0.0	0.0
194443	1.0	1.0	0.0	0.0	0.0	0.0
204269	1.0	1.0	0.0	0.0	0.0	0.0
211977	1.0	0.0	0.0	0.0	0.0	0.0
235406	0.0	0.0	0.0	1.0	0.0	0.0
237716	1.0	0.0	0.0	0.0	0.0	0.0
249583	1.0	1.0	0.0	0.0	0.0	0.0
249584	1.0	0.0	0.0	0.0	0.0	0.0
262968	0.0	0.0	0.0	1.0	0.0	0.0
265522	0.0	0.0	0.0	1.0	0.0	0.0
269339	0.0	0.0	0.0	0.0	0.0	1.0
272636	0.0	0.0	0.0	1.0	0.0	0.0
277944	1.0	1.0	0.0	0.0	0.0	0.0
286540	0.0	0.0	0.0	1.0	0.0	0.0
