interact_type	virus_unid	human_unid	VirusName	FamilyName
physical association	P36827	Q6UN15	Human papillomavirus	Papillomaviridae
physical association	P17387	Q9Y2T2	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q8WVX9	Human papillomavirus	Papillomaviridae
physical association	P03129	Q13148	Human papillomavirus	Papillomaviridae
physical association	P06463	Q9Y2H9	Human papillomavirus	Papillomaviridae
physical association	P06429	Q5T0F9	Human papillomavirus	Papillomaviridae
physical association	P24835	Q9BUB5	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	O60565	Human papillomavirus	Papillomaviridae
physical association	P17385	P06576	Human papillomavirus	Papillomaviridae
physical association	P03129	Q9Y3D9	Human papillomavirus	Papillomaviridae
physical association	P03129	Q4G0J3	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q8TAT6	Human papillomavirus	Papillomaviridae
physical association	P17386	Q96S55	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q3ZCQ8	Human papillomavirus	Papillomaviridae
physical association	P06428	O43504	Human papillomavirus	Papillomaviridae
physical association	P17388	Q12905	Human papillomavirus	Papillomaviridae
physical association	P03129	O14744	Human papillomavirus	Papillomaviridae
physical association	P06465	P13807	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	P02649	Human papillomavirus	Papillomaviridae
physical association	P06428	O60763	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	O14579	Human papillomavirus	Papillomaviridae
physical association	P03129	P36955	Human papillomavirus	Papillomaviridae
physical association	P06427	Q14669	Human papillomavirus	Papillomaviridae
physical association	P06930	Q86YB8	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q9Y4P3	Human papillomavirus	Papillomaviridae
physical association	P24835	P20073	Human papillomavirus	Papillomaviridae
physical association	P06428	P36578	Human papillomavirus	Papillomaviridae
physical association	P36817	Q8IWV8	Human papillomavirus	Papillomaviridae
physical association	P03129	Q15208	Human papillomavirus	Papillomaviridae
physical association	P17385	Q86Y56	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q9UGP8	Human papillomavirus	Papillomaviridae
physical association	P06932	Q9H2Y7	Human papillomavirus	Papillomaviridae
physical association	P06465	P01034	Human papillomavirus	Papillomaviridae
physical association	P03129	P0DPH7	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	P50281	Human papillomavirus	Papillomaviridae
physical association	P03129	P0CG47	Human papillomavirus	Papillomaviridae
physical association	P06428	Q9NRY2	Human papillomavirus	Papillomaviridae
physical association	P36827	P23396	Human papillomavirus	Papillomaviridae
physical association	P06463	Q13884	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q9Y5M8	Human papillomavirus	Papillomaviridae
physical association	P36799	Q8IZC6	Human papillomavirus	Papillomaviridae
physical association	P06927	Q08174	Human papillomavirus	Papillomaviridae
physical association	P03129	P08670	Human papillomavirus	Papillomaviridae
physical association	P06792	Q8N697	Human papillomavirus	Papillomaviridae
physical association	P06465	Q9NWX6	Human papillomavirus	Papillomaviridae
physical association	P06465	O00339	Human papillomavirus	Papillomaviridae
physical association	P17388	Q99832	Human papillomavirus	Papillomaviridae
physical association	P24835	O00115	Human papillomavirus	Papillomaviridae
physical association	P06463	Q9NQT4	Human papillomavirus	Papillomaviridae
physical association	P06428	Q92982	Human papillomavirus	Papillomaviridae
physical association	P06427	P62487	Human papillomavirus	Papillomaviridae
physical association	P06465	P60903	Human papillomavirus	Papillomaviridae
physical association	P17385	Q9UL46	Human papillomavirus	Papillomaviridae
physical association	P24835	Q13242	Human papillomavirus	Papillomaviridae
physical association	P17387	Q96JS3	Human papillomavirus	Papillomaviridae
physical association	P06927	Q7Z403	Human papillomavirus	Papillomaviridae
physical association	P17387	Q9UPQ3	Human papillomavirus	Papillomaviridae
physical association	P17385	Q9H3N1	Human papillomavirus	Papillomaviridae
physical association	P36801	P35606	Human papillomavirus	Papillomaviridae
physical association	P06930	P35221	Human papillomavirus	Papillomaviridae
physical association	P24835	P13928	Human papillomavirus	Papillomaviridae
physical association	P17389	Q92839	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	O00767	Human papillomavirus	Papillomaviridae
physical association	P03129	Q14980	Human papillomavirus	Papillomaviridae
physical association	P17388	P62906	Human papillomavirus	Papillomaviridae
physical association	P03129	Q9BZK7	Human papillomavirus	Papillomaviridae
physical association	P17387	P48643	Human papillomavirus	Papillomaviridae
physical association	P06428	Q9Y3L5	Human papillomavirus	Papillomaviridae
physical association	P06788	Q9NVZ3	Human papillomavirus	Papillomaviridae
physical association	P06930	P11216	Human papillomavirus	Papillomaviridae
physical association	P36801	O43291	Human papillomavirus	Papillomaviridae
physical association	P06788	P07237	Human papillomavirus	Papillomaviridae
physical association	P36801	Q99961	Human papillomavirus	Papillomaviridae
physical association	P24835	O43790	Human papillomavirus	Papillomaviridae
physical association	P17385	P55060	Human papillomavirus	Papillomaviridae
physical association	P17385	Q08AM6	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q92890	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	O75746	Human papillomavirus	Papillomaviridae
physical association	P36817	Q5M7Z0	Human papillomavirus	Papillomaviridae
physical association	P06428	P46781	Human papillomavirus	Papillomaviridae
physical association	P03129	P46940	Human papillomavirus	Papillomaviridae
physical association	P03129	Q9BQ87	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	O60353	Human papillomavirus	Papillomaviridae
physical association	P17382	P17480	Human papillomavirus	Papillomaviridae
physical association	P36801	P49768	Human papillomavirus	Papillomaviridae
physical association	P36801	P31949	Human papillomavirus	Papillomaviridae
physical association	P17388	Q7Z739	Human papillomavirus	Papillomaviridae
physical association	P17388	Q9BRP8	Human papillomavirus	Papillomaviridae
physical association	P03129	P98082	Human papillomavirus	Papillomaviridae
physical association	P17388	P22492	Human papillomavirus	Papillomaviridae
physical association	P17382	Q9UBV2	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q9Y5W7	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	P53621	Human papillomavirus	Papillomaviridae
physical association	P36817	Q9Y262	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	P23458	Human papillomavirus	Papillomaviridae
physical association	P06428	Q08ER8	Human papillomavirus	Papillomaviridae
physical association	P24835	P07237	Human papillomavirus	Papillomaviridae
physical association	P24835	Q12931	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q9UKV5	Human papillomavirus	Papillomaviridae
physical association	P17386	Q9H0F6	Human papillomavirus	Papillomaviridae
physical association	P36801	Q9Y3B1	Human papillomavirus	Papillomaviridae
physical association	P17382	P39687	Human papillomavirus	Papillomaviridae
physical association	P17387	P46937	Human papillomavirus	Papillomaviridae
physical association	P06428	Q9UI12	Human papillomavirus	Papillomaviridae
physical association	P06428	Q96B02	Human papillomavirus	Papillomaviridae
physical association	P06463	Q8N720	Human papillomavirus	Papillomaviridae
physical association	P06788	P19388	Human papillomavirus	Papillomaviridae
physical association	P06930	A0AV02	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	P30519	Human papillomavirus	Papillomaviridae
physical association	P06428	Q8ND76	Human papillomavirus	Papillomaviridae
physical association	P17387	Q9Y376	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q14393	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	O15031	Human papillomavirus	Papillomaviridae
physical association	P17388	Q8NE71	Human papillomavirus	Papillomaviridae
physical association	P03129	P78396	Human papillomavirus	Papillomaviridae
physical association	P06429	Q9Y3A4	Human papillomavirus	Papillomaviridae
physical association	P06428	P51991	Human papillomavirus	Papillomaviridae
physical association	P03129	P50990	Human papillomavirus	Papillomaviridae
physical association	P03129	P50395	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	O95674	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	P16615	Human papillomavirus	Papillomaviridae
physical association	P06428	P14625	Human papillomavirus	Papillomaviridae
physical association	P06428	P19012	Human papillomavirus	Papillomaviridae
physical association	P06463	Q86Y07	Human papillomavirus	Papillomaviridae
physical association	P36817	Q13123	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q15758	Human papillomavirus	Papillomaviridae
physical association	P17385	Q9UDY4	Human papillomavirus	Papillomaviridae
physical association	P17389	Q96NJ6	Human papillomavirus	Papillomaviridae
physical association	P06430	P11684	Human papillomavirus	Papillomaviridae
physical association	P06929	P62266	Human papillomavirus	Papillomaviridae
physical association	P17385	Q8TCG1	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q96BA8	Human papillomavirus	Papillomaviridae
physical association	P17386	Q9P013	Human papillomavirus	Papillomaviridae
physical association	P17385	Q99615	Human papillomavirus	Papillomaviridae
physical association	P06428	Q58WW2	Human papillomavirus	Papillomaviridae
physical association	P06428	O75352	Human papillomavirus	Papillomaviridae
physical association	P06427	P53597	Human papillomavirus	Papillomaviridae
physical association	P06930	Q9H4H8	Human papillomavirus	Papillomaviridae
physical association	P17388	O00505	Human papillomavirus	Papillomaviridae
physical association	P06463	Q13751	Human papillomavirus	Papillomaviridae
physical association	P24835	Q9Y5Y6	Human papillomavirus	Papillomaviridae
physical association	P17388	Q96RF0	Human papillomavirus	Papillomaviridae
physical association	P06463	Q13769	Human papillomavirus	Papillomaviridae
physical association	P36827	Q6NSJ5	Human papillomavirus	Papillomaviridae
physical association	P03129	O94776	Human papillomavirus	Papillomaviridae
physical association	P06428	Q86X19	Human papillomavirus	Papillomaviridae
physical association	P36817	Q9Y3M9	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	P27797	Human papillomavirus	Papillomaviridae
physical association	P04013	P62879	Human papillomavirus	Papillomaviridae
physical association	P17384	P05114	Human papillomavirus	Papillomaviridae
physical association	P03129	Q13309	Human papillomavirus	Papillomaviridae
physical association	P17385	P11441	Human papillomavirus	Papillomaviridae
physical association	P06428	P29350	Human papillomavirus	Papillomaviridae
physical association	D7GMA9	Q9UMX0	Human papillomavirus	Papillomaviridae
physical association	P17387	P21912	Human papillomavirus	Papillomaviridae
physical association	P06930	Q99836	Human papillomavirus	Papillomaviridae
physical association	P06428	Q9Y337	Human papillomavirus	Papillomaviridae
physical association	P17387	Q13685	Human papillomavirus	Papillomaviridae
physical association	P06930	P35232	Human papillomavirus	Papillomaviridae
physical association	P36801	Q8N5U6	Human papillomavirus	Papillomaviridae
physical association	P36801	Q9UBQ5	Human papillomavirus	Papillomaviridae
physical association	P17385	P53618	Human papillomavirus	Papillomaviridae
physical association	P24830	P10321	Human papillomavirus	Papillomaviridae
physical association	P06428	Q9NRD9	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	P51571	Human papillomavirus	Papillomaviridae
physical association	P17382	P27824	Human papillomavirus	Papillomaviridae
physical association	P06932	P61769	Human papillomavirus	Papillomaviridae
physical association	P06428	P09429	Human papillomavirus	Papillomaviridae
physical association	P17387	Q9BXS5	Human papillomavirus	Papillomaviridae
physical association	P06428	Q9HCY8	Human papillomavirus	Papillomaviridae
physical association	P06930	Q13838	Human papillomavirus	Papillomaviridae
physical association	P17385	Q92990	Human papillomavirus	Papillomaviridae
physical association	P17385	Q9Y679	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q96JJ7	Human papillomavirus	Papillomaviridae
physical association	P06788	Q8TF32	Human papillomavirus	Papillomaviridae
physical association	P06932	Q15545	Human papillomavirus	Papillomaviridae
physical association	P24835	O95067	Human papillomavirus	Papillomaviridae
physical association	P17387	Q9UBS9	Human papillomavirus	Papillomaviridae
physical association	P06463	P10321	Human papillomavirus	Papillomaviridae
physical association	P17385	Q8N766	Human papillomavirus	Papillomaviridae
physical association	P06930	Q01628	Human papillomavirus	Papillomaviridae
physical association	P06463	Q6IAA8	Human papillomavirus	Papillomaviridae
physical association	P36801	P32969	Human papillomavirus	Papillomaviridae
physical association	P06429	Q8NC60	Human papillomavirus	Papillomaviridae
physical association	P36801	Q5TH69	Human papillomavirus	Papillomaviridae
physical association	P03129	O43175	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q9H5V8	Human papillomavirus	Papillomaviridae
physical association	P17382	O43423	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q7Z7M9	Human papillomavirus	Papillomaviridae
physical association	P03129	Q15645	Human papillomavirus	Papillomaviridae
physical association	P06428	Q96JT2	Human papillomavirus	Papillomaviridae
physical association	P06429	P05386	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	O95159	Human papillomavirus	Papillomaviridae
physical association	P06428	Q96BI3	Human papillomavirus	Papillomaviridae
physical association	P06428	O14979	Human papillomavirus	Papillomaviridae
physical association	P06930	P49459	Human papillomavirus	Papillomaviridae
physical association	P17388	P51784	Human papillomavirus	Papillomaviridae
physical association	P36827	Q96SW2	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	P50416	Human papillomavirus	Papillomaviridae
physical association	P17389	P53350	Human papillomavirus	Papillomaviridae
physical association	P17386	Q13011	Human papillomavirus	Papillomaviridae
physical association	P06428	P62280	Human papillomavirus	Papillomaviridae
physical association	P36817	P30626	Human papillomavirus	Papillomaviridae
physical association	P06428	Q8WVQ1	Human papillomavirus	Papillomaviridae
physical association	P17385	Q8N4V1	Human papillomavirus	Papillomaviridae
physical association	P06428	Q6UW68	Human papillomavirus	Papillomaviridae
physical association	P17389	Q9Y6N5	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q9H2V7	Human papillomavirus	Papillomaviridae
physical association	P17389	Q3ZCQ8	Human papillomavirus	Papillomaviridae
physical association	P17388	Q9Y5A9	Human papillomavirus	Papillomaviridae
physical association	P17385	Q9Y277	Human papillomavirus	Papillomaviridae
physical association	P36817	Q4LDG9	Human papillomavirus	Papillomaviridae
physical association	P03129	O75526	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	P07237	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	O14672	Human papillomavirus	Papillomaviridae
physical association	P24835	Q13045	Human papillomavirus	Papillomaviridae
physical association	P24835	Q08397	Human papillomavirus	Papillomaviridae
physical association	P17387	P04818	Human papillomavirus	Papillomaviridae
physical association	P06930	Q9UJ37	Human papillomavirus	Papillomaviridae
physical association	P06428	Q13630	Human papillomavirus	Papillomaviridae
physical association	P06463	P0DP57	Human papillomavirus	Papillomaviridae
physical association	P03129	Q9BUZ4	Human papillomavirus	Papillomaviridae
physical association	P06428	P82912	Human papillomavirus	Papillomaviridae
physical association	P06428	Q658P3	Human papillomavirus	Papillomaviridae
physical association	P17389	Q9Y6H1	Human papillomavirus	Papillomaviridae
physical association	P17385	P21796	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q9NTJ5	Human papillomavirus	Papillomaviridae
physical association	P03129	P31689	Human papillomavirus	Papillomaviridae
physical association	P06430	Q9HB07	Human papillomavirus	Papillomaviridae
physical association	P03129	Q13501	Human papillomavirus	Papillomaviridae
physical association	P06929	O95182	Human papillomavirus	Papillomaviridae
physical association	P17385	P29692	Human papillomavirus	Papillomaviridae
physical association	P36801	Q9BVC6	Human papillomavirus	Papillomaviridae
physical association	P17385	P63241	Human papillomavirus	Papillomaviridae
physical association	P06932	Q8NC51	Human papillomavirus	Papillomaviridae
physical association	P06929	P41134	Human papillomavirus	Papillomaviridae
physical association	P06929	Q9H6D7	Human papillomavirus	Papillomaviridae
physical association	P06428	Q9NRF9	Human papillomavirus	Papillomaviridae
physical association	P06428	Q13488	Human papillomavirus	Papillomaviridae
physical association	P06428	Q969X2	Human papillomavirus	Papillomaviridae
physical association	P06427	Q9Y624	Human papillomavirus	Papillomaviridae
physical association	P06428	P09012	Human papillomavirus	Papillomaviridae
physical association	P17385	Q9H330	Human papillomavirus	Papillomaviridae
physical association	P03129	P78371	Human papillomavirus	Papillomaviridae
physical association	P06430	Q13427	Human papillomavirus	Papillomaviridae
physical association	P06459	P07305	Human papillomavirus	Papillomaviridae
physical association	P06430	Q9Y3B2	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q9NZM1	Human papillomavirus	Papillomaviridae
physical association	P06428	P01024	Human papillomavirus	Papillomaviridae
physical association	P17387	P31040	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q8IY26	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q14699	Human papillomavirus	Papillomaviridae
physical association	P17385	Q9UBM7	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q8TED1	Human papillomavirus	Papillomaviridae
physical association	P36817	Q9Y3C1	Human papillomavirus	Papillomaviridae
physical association	P03129	P08246	Human papillomavirus	Papillomaviridae
physical association	P03129	Q15788	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	P00533	Human papillomavirus	Papillomaviridae
physical association	P03129	P60842	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q96CS3	Human papillomavirus	Papillomaviridae
physical association	P17387	A6NNZ2	Human papillomavirus	Papillomaviridae
physical association	P06428	Q7RTR2	Human papillomavirus	Papillomaviridae
physical association	P17387	P56545	Human papillomavirus	Papillomaviridae
physical association	P06930	O75132	Human papillomavirus	Papillomaviridae
physical association	P06428	Q8NEM2	Human papillomavirus	Papillomaviridae
physical association	P06428	A6NIH7	Human papillomavirus	Papillomaviridae
physical association	P17387	Q14247	Human papillomavirus	Papillomaviridae
physical association	P17382	Q96DZ1	Human papillomavirus	Papillomaviridae
physical association	P06930	Q8NFJ5	Human papillomavirus	Papillomaviridae
physical association	P17387	Q9H1A4	Human papillomavirus	Papillomaviridae
physical association	P06463	Q9H5P4	Human papillomavirus	Papillomaviridae
physical association	P36827	P62875	Human papillomavirus	Papillomaviridae
physical association	Q9QLP4	A2AJT9	Human papillomavirus	Papillomaviridae
physical association	P17385	Q53HI1	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q9Y2G8	Human papillomavirus	Papillomaviridae
physical association	P06788	P08779	Human papillomavirus	Papillomaviridae
physical association	P06930	P01135	Human papillomavirus	Papillomaviridae
physical association	P06428	P62937	Human papillomavirus	Papillomaviridae
physical association	P06930	P04156	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	P02786	Human papillomavirus	Papillomaviridae
physical association	P17385	P04843	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q4ZIN3	Human papillomavirus	Papillomaviridae
physical association	P17385	P04004	Human papillomavirus	Papillomaviridae
physical association	P03129	B2RXF5	Human papillomavirus	Papillomaviridae
physical association	P06429	Q14683	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q9NXS2	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	P08240	Human papillomavirus	Papillomaviridae
physical association	P17387	Q15004	Human papillomavirus	Papillomaviridae
physical association	P17385	P30049	Human papillomavirus	Papillomaviridae
physical association	P06428	Q96AG4	Human papillomavirus	Papillomaviridae
physical association	P24835	P49662	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	O60725	Human papillomavirus	Papillomaviridae
physical association	P06430	P19367	Human papillomavirus	Papillomaviridae
physical association	P17387	Q14680	Human papillomavirus	Papillomaviridae
physical association	P17385	P45880	Human papillomavirus	Papillomaviridae
physical association	P17388	O00232	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	O43765	Human papillomavirus	Papillomaviridae
physical association	P03129	Q9BYV2	Human papillomavirus	Papillomaviridae
physical association	P17388	Q1KMD3	Human papillomavirus	Papillomaviridae
physical association	P17384	P27694	Human papillomavirus	Papillomaviridae
physical association	P06430	P03915	Human papillomavirus	Papillomaviridae
physical association	P06428	P03886	Human papillomavirus	Papillomaviridae
physical association	P03129	P07910	Human papillomavirus	Papillomaviridae
physical association	P17388	O95793	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q8IXI2	Human papillomavirus	Papillomaviridae
physical association	P06428	Q9Y291	Human papillomavirus	Papillomaviridae
physical association	P06463	P29074	Human papillomavirus	Papillomaviridae
physical association	P36801	P27797	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q3KQU3	Human papillomavirus	Papillomaviridae
physical association	P06463	Q8IZ52	Human papillomavirus	Papillomaviridae
physical association	P06428	Q6P1R4	Human papillomavirus	Papillomaviridae
physical association	P06930	Q9UNF1	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q9BZQ6	Human papillomavirus	Papillomaviridae
physical association	P17385	Q969M3	Human papillomavirus	Papillomaviridae
physical association	P17382	P40939	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	P17302	Human papillomavirus	Papillomaviridae
physical association	P06930	Q92876	Human papillomavirus	Papillomaviridae
physical association	P04013	P02792	Human papillomavirus	Papillomaviridae
physical association	P17385	P25685	Human papillomavirus	Papillomaviridae
physical association	P03129	O43734	Human papillomavirus	Papillomaviridae
physical association	P36801	Q969R8	Human papillomavirus	Papillomaviridae
physical association	P03129	O00303	Human papillomavirus	Papillomaviridae
physical association	P17388	Q13428	Human papillomavirus	Papillomaviridae
physical association	P06428	P49750	Human papillomavirus	Papillomaviridae
physical association	P17385	P42771	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	P67812	Human papillomavirus	Papillomaviridae
physical association	P03129	Q16576	Human papillomavirus	Papillomaviridae
physical association	P03129	P11021	Human papillomavirus	Papillomaviridae
physical association	P36801	Q96CS3	Human papillomavirus	Papillomaviridae
physical association	P36827	P10909	Human papillomavirus	Papillomaviridae
physical association	P03129	Q86UK7	Human papillomavirus	Papillomaviridae
physical association	P24835	Q6KB66	Human papillomavirus	Papillomaviridae
physical association	P17387	Q9BVG8	Human papillomavirus	Papillomaviridae
physical association	P17387	P22234	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q15629	Human papillomavirus	Papillomaviridae
physical association	P17388	Q92908	Human papillomavirus	Papillomaviridae
physical association	P06465	O43809	Human papillomavirus	Papillomaviridae
physical association	P06428	P40305	Human papillomavirus	Papillomaviridae
physical association	P06428	P63272	Human papillomavirus	Papillomaviridae
physical association	P17386	A6NKD9	Human papillomavirus	Papillomaviridae
physical association	P17385	Q14157	Human papillomavirus	Papillomaviridae
physical association	P17387	P16220	Human papillomavirus	Papillomaviridae
physical association	P36810	Q8WVL7	Human papillomavirus	Papillomaviridae
physical association	P36801	Q99828	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	O00391	Human papillomavirus	Papillomaviridae
physical association	P17387	Q96S59	Human papillomavirus	Papillomaviridae
physical association	P17385	Q07065	Human papillomavirus	Papillomaviridae
physical association	P17387	Q96P47	Human papillomavirus	Papillomaviridae
physical association	P06930	P09958	Human papillomavirus	Papillomaviridae
physical association	P24835	P20839	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q14318	Human papillomavirus	Papillomaviridae
physical association	P17385	P51572	Human papillomavirus	Papillomaviridae
physical association	P03129	P30532	Human papillomavirus	Papillomaviridae
physical association	P03129	Q9BYE7	Human papillomavirus	Papillomaviridae
physical association	P06428	Q9GZM5	Human papillomavirus	Papillomaviridae
physical association	P06932	Q86U28	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q96CP6	Human papillomavirus	Papillomaviridae
physical association	P06428	Q8IWA5	Human papillomavirus	Papillomaviridae
physical association	P17382	O94782	Human papillomavirus	Papillomaviridae
physical association	P03129	P43243	Human papillomavirus	Papillomaviridae
physical association	P24835	P53634	Human papillomavirus	Papillomaviridae
physical association	P06930	Q9BRD0	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q6UVK1	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q96AQ6	Human papillomavirus	Papillomaviridae
physical association	P36799	P17096	Human papillomavirus	Papillomaviridae
physical association	P36801	P26572	Human papillomavirus	Papillomaviridae
physical association	P06428	P24534	Human papillomavirus	Papillomaviridae
physical association	P24835	O14613	Human papillomavirus	Papillomaviridae
physical association	P06428	P05067	Human papillomavirus	Papillomaviridae
physical association	P36801	Q5VWK5	Human papillomavirus	Papillomaviridae
physical association	P36801	P10176	Human papillomavirus	Papillomaviridae
physical association	P06428	Q9BSE2	Human papillomavirus	Papillomaviridae
physical association	P36801	Q14103	Human papillomavirus	Papillomaviridae
physical association	P06930	Q9H497	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q6NZI2	Human papillomavirus	Papillomaviridae
physical association	P17387	Q9ULW0	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q5K4L6	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q15165	Human papillomavirus	Papillomaviridae
physical association	P36817	P19338	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q9HD45	Human papillomavirus	Papillomaviridae
physical association	P17387	P52434	Human papillomavirus	Papillomaviridae
physical association	P17387	O60481	Human papillomavirus	Papillomaviridae
physical association	P06930	P61769	Human papillomavirus	Papillomaviridae
physical association	P06788	P04156	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q9HD20	Human papillomavirus	Papillomaviridae
physical association	P06428	P47895	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q96IX5	Human papillomavirus	Papillomaviridae
physical association	P17387	Q8IWV7	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q13443	Human papillomavirus	Papillomaviridae
physical association	P06429	P07339	Human papillomavirus	Papillomaviridae
physical association	P17385	Q9UHD9	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	P33897	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q9H936	Human papillomavirus	Papillomaviridae
physical association	P06428	P48960	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q9BT22	Human papillomavirus	Papillomaviridae
physical association	P36801	O15037	Human papillomavirus	Papillomaviridae
physical association	P17389	O75477	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	P40429	Human papillomavirus	Papillomaviridae
physical association	P06930	P62952	Human papillomavirus	Papillomaviridae
physical association	P06428	Q6UY11	Human papillomavirus	Papillomaviridae
physical association	P17385	P78347	Human papillomavirus	Papillomaviridae
physical association	P36817	P19013	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q8WZ71	Human papillomavirus	Papillomaviridae
physical association	P06428	Q99576	Human papillomavirus	Papillomaviridae
physical association	P06930	P39060	Human papillomavirus	Papillomaviridae
physical association	P17382	P14635	Human papillomavirus	Papillomaviridae
physical association	P17387	Q6ZRP7	Human papillomavirus	Papillomaviridae
physical association	P17385	Q9Y6Y8	Human papillomavirus	Papillomaviridae
physical association	P17388	Q9Y6M1	Human papillomavirus	Papillomaviridae
physical association	P06463	P19013	Human papillomavirus	Papillomaviridae
physical association	P06788	P35520	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q9NXH8	Human papillomavirus	Papillomaviridae
physical association	Q9QLP4	P00846	Human papillomavirus	Papillomaviridae
physical association	P06428	P21673	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q13586	Human papillomavirus	Papillomaviridae
physical association	P06428	P39023	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q12846	Human papillomavirus	Papillomaviridae
physical association	P17388	O00165	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q9UKU6	Human papillomavirus	Papillomaviridae
physical association	P06465	A6PVS8	Human papillomavirus	Papillomaviridae
physical association	P36817	P50995	Human papillomavirus	Papillomaviridae
physical association	P06930	Q9NZJ7	Human papillomavirus	Papillomaviridae
physical association	P03129	P27708	Human papillomavirus	Papillomaviridae
physical association	P36801	P57088	Human papillomavirus	Papillomaviridae
physical association	P06428	Q9H1X3	Human papillomavirus	Papillomaviridae
physical association	P06429	P03886	Human papillomavirus	Papillomaviridae
physical association	P06463	Q96JH8	Human papillomavirus	Papillomaviridae
physical association	P03129	P11217	Human papillomavirus	Papillomaviridae
physical association	B9UPF3	Q9HBR0	Human papillomavirus	Papillomaviridae
physical association	P03129	Q13617	Human papillomavirus	Papillomaviridae
physical association	P17387	Q69YH5	Human papillomavirus	Papillomaviridae
physical association	P06929	P08727	Human papillomavirus	Papillomaviridae
