interact_type	virus_unid	human_unid	VirusName	FamilyName
physical association	P29996	P29033	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q9NPF2	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q9NRZ7	Hepatitis delta virus	Kolmioviridae
physical association	P29996	P60602	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q9BTX3	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q68G75	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q4G0N4	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q9P0Z9	Hepatitis delta virus	Kolmioviridae
physical association	P29996	P98172	Hepatitis delta virus	Kolmioviridae
physical association	P29996	O14863	Hepatitis delta virus	Kolmioviridae
physical association	P29996	Q9UNA3	Hepatitis delta virus	Kolmioviridae
physical association	P21698	Q13888	Rift Valley fever phlebovirus	Phenuiviridae
physical association	P16494	Q96G25	Bunyamwera orthobunyavirus	Peribunyaviridae
physical association	Q808S4	O95551	Seoul orthohantavirus	Hantaviridae
physical association	Q808S4	Q9H2X6	Seoul orthohantavirus	Hantaviridae
physical association	P17881	O75925	Seoul orthohantavirus	Hantaviridae
physical association	P17881	O95551	Seoul orthohantavirus	Hantaviridae
physical association	Q808S4	Q96S59	Seoul orthohantavirus	Hantaviridae
physical association	P05133	Q9H2X6	Seoul orthohantavirus	Hantaviridae
physical association	Q808S4	O75928	Seoul orthohantavirus	Hantaviridae
physical association	P05133	O75928	Seoul orthohantavirus	Hantaviridae
physical association	P27313	Q9UER7	Puumala orthohantavirus	Hantaviridae
direct interaction	Q99152	Q9H2H8	Chicken anemia virus	Anelloviridae
physical association	Q99152	P27986	Chicken anemia virus	Anelloviridae
physical association	Q99152	Q92621	Chicken anemia virus	Anelloviridae
physical association	Q77HE9	Q9NWB7	Chicken anemia virus	Anelloviridae
physical association	Q99152	Q9NWB7	Chicken anemia virus	Anelloviridae
direct interaction	P69616	O43291	Orthohepevirus A	Hepeviridae
direct interaction	P69616	P02760	Orthohepevirus A	Hepeviridae
