,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,log10FDR
42,Reactome_2022,Post-translational Protein Modification,3/1383,0.0676970083667172,0.1184930136785766,0,0,3.677075098814229,9.901308985439236,HERC2;STX17;CALU,0.9263072548039766
43,Reactome_2022,Cargo Recognition For Clathrin-Mediated Endocytosis,1/104,0.0704116591696319,0.1184930136785766,0,0,14.849141150112024,39.400657913218666,SCARB2,0.9263072548039766
44,Reactome_2022,Vesicle-mediated Transport,2/637,0.0715760557562891,0.1184930136785766,0,0,5.079002624671916,13.393302889573231,SCARB2;STX17,0.9263072548039766
45,Reactome_2022,Post-translational Protein Phosphorylation,1/106,0.0717194556475595,0.1184930136785766,0,0,14.564835164835165,38.37824191326997,CALU,0.9263072548039766
46,Reactome_2022,Cell Cycle,2/654,0.0749442326866954,0.1193255465181267,0,0,4.942229038854806,12.805369834854693,HERC2;TERF2,0.9232665678625092
47,Reactome_2022,Reproduction,1/113,0.0762833015257954,0.1193255465181267,0,0,13.649725274725276,35.124854668215484,TERF2,0.9232665678625092
48,Reactome_2022,HDR Thru Homologous Recombination (HRR) Or Single Strand Annealing (SSA),1/114,0.0769335760445817,0.1193255465181267,0,0,13.528250510551397,34.697431128919675,HERC2,0.9232665678625092
49,Reactome_2022,Chromosome Maintenance,1/118,0.0795304257434089,0.1194818015385364,0,0,13.06311637080868,33.07078940821261,TERF2,0.9226982377556664
50,Reactome_2022,Homology Directed Repair,1/119,0.0801785773482284,0.1194818015385364,0,0,12.951760104302478,32.683752572491365,HERC2,0.9226982377556664
51,Reactome_2022,Regulation Of IGF Transport And Uptake By IGFBPs,1/123,0.0827669482026598,0.1209670781423489,0,0,12.524590163934429,31.207852882207167,CALU,0.9173328092417764
52,Reactome_2022,ER To Golgi Anterograde Transport,1/133,0.0892083155265458,0.1279213581135374,0,0,11.56993006993007,27.961987399777197,STX17,0.8930569384262677
53,Reactome_2022,Clathrin-mediated Endocytosis,1/142,0.0949696076866661,0.1336609293367893,0,0,10.826513911620294,25.487761269858467,SCARB2,0.8739955235771595
54,Reactome_2022,G2/M Checkpoints,1/148,0.0987916491782093,0.1349369102544597,0,0,10.381475667189951,24.030439828110733,HERC2,0.8698692384137261
55,Reactome_2022,DNA Double-Strand Break Repair,1/149,0.0994271970296019,0.1349369102544597,0,0,10.31081081081081,23.800749699495004,HERC2,0.8698692384137261
56,Reactome_2022,Transport To Golgi And Subsequent Modification,1/164,0.1089106110774197,0.1435289804592075,0,0,9.354884379424258,20.741909852754212,STX17,0.8430604000952616
57,Reactome_2022,Cellular Senescence,1/165,0.109539529792404,0.1435289804592075,0,0,9.297373358348969,20.560860328803205,TERF2,0.8430604000952616
58,Reactome_2022,SUMO E3 Ligases SUMOylate Target Proteins,1/168,0.1114238137775427,0.1435289804592075,0,0,9.128972823583602,20.032747651479024,HERC2,0.8430604000952616
59,Reactome_2022,SUMOylation,1/174,0.1151812793562318,0.1458962871845603,0,0,8.809693196976434,19.039932238782733,HERC2,0.8359557600309813
60,Reactome_2022,Neurotransmitter Receptors And Postsynaptic Signal Transmission,1/182,0.1201682851848245,0.1497178635089616,0,0,8.416914577135572,17.834281650542312,EPB41L1,0.8247263789453325
61,Reactome_2022,Metabolism Of Proteins,3/1890,0.1398664217671349,0.1714491621661653,0,0,2.615840439369851,5.1455345619595745,HERC2;STX17;CALU,0.7658646328441682
62,Reactome_2022,Chromatin Modifying Enzymes,1/238,0.1543532642057949,0.1862039377720701,0,0,6.409931840311587,11.97703058979952,KDM5C,0.7300111389583386
63,Reactome_2022,Transmission Across Chemical Synapses,1/246,0.1591348899679038,0.1889726818368857,0,0,6.198116169544741,11.392156559255088,EPB41L1,0.7236009735251825
64,Reactome_2022,Cell Cycle Checkpoints,1/271,0.1739161448381884,0.2033481078108049,0,0,5.617094017094017,9.825319871419756,HERC2,0.691759864425607
65,Reactome_2022,Asparagine N-linked Glycosylation,1/282,0.1803431480452471,0.2076678674460421,0,0,5.394196550780181,9.239686177870396,STX17,0.6826306968710111
66,Reactome_2022,Extracellular Matrix Organization,1/291,0.1855670365724471,0.210493951932925,0,0,5.224403183023873,8.799666446026235,PLOD3,0.676760378117585
67,Reactome_2022,Antigen Processing: Ubiquitination And Proteasome Degradation,1/307,0.1947776893844402,0.2176927116649626,0,0,4.947209653092006,8.093122586275237,HERC2,0.6621561108609504
68,Reactome_2022,Class I MHC Mediated Antigen Processing And Presentation,1/378,0.2344949999156491,0.2582843477331788,0,0,4.001020199959192,5.802763672016745,HERC2,0.5879019116705804
69,Reactome_2022,Neuronal System,1/386,0.2388542836698848,0.2593275079844463,0,0,3.916283716283716,5.607732937987401,EPB41L1,0.5861514133030777
70,Reactome_2022,Sensory Perception,1/616,0.354754153845068,0.3797368407355657,0,0,2.422889305816135,2.5109134892077796,EPB41L1,0.4205172670898009
71,Reactome_2022,Immune System,2/1943,0.4006870825213781,0.4139455844020505,0,0,1.5494590417310663,1.4170957270306574,AIM2;HERC2,0.38305674570798975
72,Reactome_2022,Cellular Responses To Stress,1/722,0.4024502007049508,0.4139455844020505,0,0,2.055371812653366,1.870766362676252,TERF2,0.38305674570798975
73,Reactome_2022,Adaptive Immune System,1/733,0.4072075819637851,0.4139455844020505,0,0,2.023329129886507,1.8178240296824544,HERC2,0.38305674570798975
74,Reactome_2022,Cellular Responses To Stimuli,1/736,0.4084989319757077,0.4139455844020505,0,0,2.014756671899529,1.8037431046937864,TERF2,0.38305674570798975
75,Reactome_2022,Innate Immune System,1/1035,0.5248697827696305,0.5248697827696305,0,0,1.4099092396964736,0.9088346582127304,AIM2,0.27994842924016045
