Top_K,knn_val,rf_val,svm_val,xgb_val
50,0.9125044528388276,0.9276978365384616,0.9336631410256412,0.921841826923077
100,0.9433974130036632,0.9559297733516484,0.9634345695970696,0.9537432692307694
150,0.939899954212454,0.957912374084249,0.9666384615384616,0.9534240613553115
200,0.938435451007326,0.957657841117216,0.967420695970696,0.950863118131868
250,0.936033276098901,0.9591094322344322,0.9687927884615384,0.9536966575091576
300,0.9368125686813188,0.9594471955128204,0.9682287545787548,0.9573462454212456
350,0.9368729281135532,0.9588091918498168,0.968850412087912,0.9539247939560438
400,0.9374900068681318,0.9593128891941392,0.9687381868131868,0.95592690018315
450,0.9350757554945056,0.9586926282051283,0.9673393772893774,0.953431913919414
500,0.9344147779304032,0.9558241643772892,0.9672318910256412,0.952020695970696
550,0.9305843177655678,0.9560046703296704,0.9658416895604396,0.9526257326007328
600,0.9298404990842492,0.9544060897435898,0.9636516483516484,0.9504329670329672
650,0.927953021978022,0.9553074404761904,0.9637952380952384,0.9506237408424908
700,0.9265120306776556,0.95262673992674,0.9636799908424908,0.9500908882783884
750,0.9250073145604398,0.9532883012820512,0.9622855769230768,0.9504677197802196
800,0.9255940476190476,0.9524279876373626,0.9614793956043958,0.948678205128205
850,0.9193957303113554,0.9512233859890112,0.9603427426739928,0.9489807463369964
900,0.9210927312271064,0.9519541666666668,0.96130972985348,0.9487266025641026
950,0.9188582417582416,0.9518057005494504,0.9610292353479852,0.9493372252747252
1000,0.921117696886447,0.950887706043956,0.9607902472527472,0.9488658424908424
1050,0.9211177083333332,0.9509680173992676,0.9602515567765568,0.9491815476190476
1100,0.9227331387362638,0.9508817536630034,0.9589838369963368,0.9482022206959706
1150,0.919844803113553,0.9500748054029304,0.9578718635531136,0.9486749542124542
1200,0.9204859890109888,0.949593853021978,0.9578033424908426,0.9475166895604396
1250,0.9188939102564102,0.9479876144688644,0.9573119505494506,0.94739635989011
1300,0.9166604853479854,0.9484036401098902,0.9565712454212456,0.9476595924908424
1350,0.9157249198717948,0.9489015567765569,0.955878044871795,0.9480190476190478
1400,0.9137410714285712,0.9477160714285714,0.9557689102564104,0.9480527930402932
1450,0.915287168040293,0.94851404532967,0.9546955128205128,0.946834294871795
1500,0.9140308493589744,0.9460812728937726,0.9536863324175826,0.9471324175824176
1550,0.9160737408424908,0.9472037087912089,0.9531066391941392,0.9467187042124542
1600,0.9149216117216118,0.9456511103479852,0.9526638507326008,0.945571771978022
1650,0.9179594207875456,0.9461502747252748,0.9527775183150184,0.9463053571428572
1700,0.9182816620879118,0.9469440590659342,0.95296336996337,0.9455304945054944
1750,0.917050927197802,0.9457075663919414,0.9528584935897436,0.9456961080586082
1800,0.9153246451465205,0.9461280677655678,0.952485554029304,0.9459208562271064
1850,0.9153110462454214,0.9460540521978024,0.9525792582417582,0.9457331043956044
1900,0.915580425824176,0.9459745535714288,0.9524529532967037,0.9454239697802196
1950,0.914900080128205,0.9454109088827838,0.9528756868131866,0.9448000686813184
2000,0.9156463827838828,0.9449834249084248,0.9518760531135532,0.9450936813186812
